id,name
6773,Андреевка (Хасанский район)
7580,Анучино
7514,Ариадное
1949,Арсеньев
1950,Артем
7467,Барабаш
1951,Большой Камень
7557,Буссевка
22,Владивосток
6595,Владимиро-Александровское
6738,Воздвиженка
6363,Вольно-Надеждинское
7568,Восток
7483,Вострецово
6289,Врангель
7531,Галенки
7588,Горные Ключи
1952,Дальнегорск
1953,Дальнереченск
7555,Девица (Приморский край)
6624,Дунай
7498,Зарубино
7475,Ивановка (Приморский край)
3702,Кавалерово
5264,Камень-Рыболов
6369,Кировский (Приморский край)
7558,Краскино
7463,Краснореченский
7539,Лазо (Дальнореченский округ)
7549,Лазо (Лазовский район)
1954,Лесозаводск
7491,Ливадия (Приморский край)
7464,Липовцы
5259,Лучегорск
7575,Малиново
6563,Милоградово
6054,Михайловка (Приморский край)
7520,Моряк-Рыболов
1955,Находка
7470,Новокачалинск
7564,Новоникольск
7583,Новопокровка
7525,Новостройка
7507,Новосысоевка
7490,Новошахтинский
6362,Новый (Приморский край)
7570,Ольга
1956,Партизанск
2450,Пластун
5267,Пограничный (Приморский край)
5266,"Покровка (Октябрьский район, Приморский край)"
7552,Посьет
6311,Преображение
6467,Раздольное (Приморский край)
7547,Ракитное (Приморский край)
7477,Реттиховка
7581,Рощино (Приморский край)
7505,Рудная Пристань
7481,Русский
7540,Сергеевка (Партизанский район)
7597,Светлогорье
7480,Сергеевка (Пограничный район)
6178,Сибирцево (Приморский край)
5261,Славянка (Приморский край)
7560,Смоляниново
1957,Спасск-Дальний
6618,Спасское (Приморский край)
7562,Тавричанка
7596,Терней
5260,Трудовое (Приморский край)
7576,Углекаменск
1958,Уссурийск
1959,Фокино (Приморский край)
5265,Хороль
7565,Хрустальный
5262,Черниговка (Приморский край)
7499,Чкаловское
5263,Чугуевка
6571,Шкотово
6455,Яковлевка
7526,Ярославский
