employer_name,count
РН-Аэро,10
КБ Пойдём!,2
СБЕР,52
Яндекс Крауд,23
Газпром нефть,11
ГОСАПТЕКА,6
Винлаб,67
Главное управление МЧС России по Приморскому краю,7
Компания Группа компаний Реми,71
Альфа-Банк,17
Мобильный Ритейл,35
Бубль-Гум,19
Манчжур-Морская шип-чандлерская служба,8
Алеут фирменная розничная сеть Ратимир,70
100ДЕЛ,12
Тинькофф,172
КЛЕВЕР,6
Яндекс,64
Альфа-Кар ТРАК,28
Группа компаний ТАФИ,5
Домовид,21
Розничная сеть МТС,17
ДРСК Приморские электрические сети,57
ГЛОРИЯ ДЖИНС,27
Апекс Групп,22
LiteJob,44
Дружин Игорь Станиславович,30
Ростелеком,88
BELUGA GROUP,23
ФинДоставка,2
Тереховский ЗБИ,38
"Бристоль, сеть магазинов",25
Русский минтай,36
ААК ПРОГРЕСС,69
BY business group,9
Банк ВТБ (ПАО),6
Развлекательный комплекс Tigre de Cristal,53
Почта России,52
"Российская телевизионная и радиовещательная сеть, ФГУП",4
Вертикаль. Центр подбора персонала,1
Логистик-В,2
СиАрСиСи Рус,21
VLADIVOSTOK Grand Hotel & SPA,23
Розничное направление ГК Невада,44
Райффайзен Банк,9
Финансовая Почта,5
СГМК,13
Мегаполис,59
БУ Березовская районная больница,4
Аптека Миницен,7
Домотехника,33
"Алабуга, ОЭЗ ППТ",14
Уральский оптико-механический завод,1
"Мойдодыр, профессиональная уборка",1
Дальтрансстрой,6
"Красное & Белое, розничная сеть",23
ИНСТОР,7
Антрацитинвестпроект,15
СЗ Вива,5
Аскольд,4
Почта Банк,10
Государственное бюджетное учреждение здравоохранения Калининградской области Балтийская центральная районная больница,6
Специальные технологии контроля,3
Форвард Трейд,5
Эй-Пи Трейд,38
Главное управление Федеральной службы судебных приставов по Приморскому краю,14
Лаборатория Гемотест,8
Мебельная компания «Шатура»,4
Фарматика,5
ГБУЗ ПК БЮРО СМЭ,7
Транзит,40
ITM,2
"ДИЛАН, Группа компаний",39
Универсал,2
Банк Хоум Кредит,8
Группа Компаний «Доброфлот»,56
Приморский завод ЕВРОПЛАСТ,13
Днс Дом,26
Доширак Рус,2
ТехЦентр,6
РАТИМИР,43
Сити Кофе Владивосток,5
Бонжур,10
Группа компаний Невада,19
Деловые Линии,15
Владсклад,1
Спортмастер,7
Форейн-Трейд,7
Группа компаний Автомотив,2
ГК ВЛ Лоджистик,12
ГК Центр Кровли,10
Торговый дом Лазурит,15
Гефест-ДВ,8
Медсправка (ООО УК Востокмедгрупп),12
Представитель компании ООО Альянс,2
МКУК ЦСКДУ,6
Форсавто,13
ДСК Приморье,20
DNS Головной офис,29
Premium Groom,1
Ди-Ай-Вай Сервис,4
Додо Пицца (ООО Рокет Пицца),10
Аэропорт Девелопмент,4
Модуль,10
Русбизнесавто,11
"Гейзер, группа компаний",1
Отличные наличные,6
Капитал Лайф Страхование Жизни,3
Гратион,1
ANCOR,23
Центр детского здоровья,12
Восток-Лидер,2
БИГЦЕНТР,3
Ренессанс Банк,2
Группа компаний PACK&FLY,3
Невод,25
Леруа Мерлен,18
Химсервис,4
Компания ПЭК,10
Торговый Дом Аквадом,8
Маренко Александра Владимировна,2
САМСАН,1
Строительная компания КОВЧЕГ,14
Хладокомбинат Заречный,16
ГК Пасифик,1
Группа компаний Альянс,7
Гостиница Мираж,1
Сеть магазинов цифровой и бытовой техники DNS,47
Движение,3
СтальГрад,51
Сталепромышленная компания,40
Траклайнер ДВ,1
Дикси,15
Тотал-Трейд,4
Технология Карьеры,11
Мартен,11
Завод Кпд 100,2
ТАНДЕМ ТРЭК,1
Фасадэна,2
КДВ Групп,11
РОСБАНК,5
ГК Сибирь Профиль (ООО Практичные двери),1
Дез-Центр,4
Корона Авто,6
ВИГ,1
ГудФуд,23
ДКС,2
НАО Шамбала,21
Величко Вадим Викторович,2
Первый Парфюмерный,1
ЛогЛаб,1
АртГЕО-ДВ,5
Компания Мир упаковки,10
Владсинтез,4
Центр бухгалтерского обслуживания,1
Хабаровская ремонтно-монтажная компания,6
ОптПромТорг,2
ВладВитрина,1
Компания Санвэй,3
Альтэк Дв,11
Феррум,3
Добрострой ДВ,2
Строительная компания Куб,3
ОСГ Рекордз Менеджмент,1
М.Видео-Эльдорадо,17
СберЛогистика,5
МПК (Призыванет.Ру),2
"STS Logistics, Холдинг",1
СДС Строй ДВ филиал,37
ТРК Приморское Кольцо,3
Деловые люди,29
Putin Team Russia,1
Кайрос,8
FM Logistic,1
Золотое Время Дальний Восток,4
КГБУЗ Находкинская ГБ,21
Автомаркет Гамма,2
Джел Ко,3
Кацура Павел Юрьевич,1
РосДеньги,2
Федеральная сетевая компания – Россети,9
Арт-парк Штыковские пруды,10
Энергомаркет,2
Восхождение,3
ЛГ Машинери,1
,1
СДЭК,5
ИК Ренессанс Групп,1
Морской порт Суходол,8
Купи Для Дома,1
ДВ-АРС,1
Краевой центр охраны труда,14
Эксполес,9
"Бубль Гум, Розничная сеть",3
Реноме,11
Международный аэропорт Владивосток,21
Агроресурсы,4
"Развитие 2000, Финансово-консалтинговая группа",10
Востокнефтепродукт,21
Газпром гелий сервис,9
Владлинк,4
Мелодия здоровья,1
Приморский Торговый Центр,2
Помощник,1
Золотая мозаика,9
Совкомбанк,23
АТЭК,26
Самолет Плюс,1
Логфаст,6
Группа компаний Юнион Владивосток,4
Детский Мир,7
Мельниченко В.И. Производственный комплекс Серышевский,2
Авторитет Спецтехно,1
БВТ БАРЬЕР РУС,1
Твой Друг,8
"Сантехкомплект, Компания",1
Торговый Дом Морозова,5
Форум-Авто,4
Группа Компаний Регион,7
Филиал Дальневосточный ООО ЛокоТех-Сервис,10
Управление перспективных технологий,1
Олимпинвест,1
Чупров Алексей Вячеславович,5
Проект,47
Атлантикс констракшн,3
Автотехника,2
Репласт,4
Белый Кролик (ИП Оникиенко Роман Евгеньевич),13
Влад Рейс,26
Атлас,1
Дельта Сервис,1
Спецавтострой-Дв,1
Альянсгрупп,2
Дорсервис Владивосток,1
АВАНТ,1
Шепелева Кристина Андреевна,1
Аида,1
Газпром газораспределение Дальний Восток,4
Дальневосточный банк,9
Сфера Менеджмент,23
ОМС,3
WILDBERRIES,1
Новая Торговая Компания,1
Спецстройтехника,1
Российские железные дороги,54
Охотская Горно-Геологическая Компания,27
Завод Котельного Оборудования Дальстам,1
ТД Традиции,13
Золотодобывающая Экономическая Компания,1
Дальневосточная Транспортная Компания,3
ФГБУН Ботанический сад-институт Дальневосточного отделения Российской академии наук,1
Т.Б.М.,2
SOKOLOV,1
"AROUND, Группа компаний",2
"РИВ ГОШ, Сеть магазинов",1
ФГБОУ Всероссийский детский центр Океан,2
Алкогольная Сибирская группа,1
Примспецстрой,2
Владивостокский Бутощебёночный Завод,5
Лиан,1
Группа компаний Техсервис,5
Интеллект-Инжиниринг,2
Компания Арсенал,3
Сдэк-Артем,1
Промстрой,13
Капран Любовь Анатольевна,2
Релакс,9
Highland Gold,5
"АРК ПЕРСОНАЛ, Кадровое агентство",5
"Проспект,ООО кадровое агентство",3
РОССКО,5
Клиника слуха Аудионика,6
ГЦ ТЕХНО,1
НОУДО ОЦ Лингва-Плюс,4
Раташнюк Денис Анатольевич,1
ГК Юником,1
ГК Черноголовка,1
Газхолодтехнология,2
ДГК,13
ЕВРАЗ,1
Тренд Про Плюс,7
Ozon,4
Нова-Безопасность,24
Адвант,2
3М,1
Островлогистик,1
Завод ВРК Сапфир,16
RBT.ru,10
Пенжинская горная компания,7
Дальний,1
РУЛОГ,1
Продинвест,1
ТД ВИК,15
Мултон Партнерс,1
КАРИ,9
Афродита,1
Терминал,1
Разрез Полтавский,4
АгроПтица,5
Работа Центр,6
Импорт Лубрикантс,1
Агроимпорт ДВ,1
Айс Юнион,4
УМВД России по Приморскому краю,4
Квазар,5
