id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81693461,Главный специалист / Инженер по сопровождению строительства,https://hh.ru/applicant/vacancy_response?vacancyId=81693461,full,Полная занятость,,104000,"Высшее (строительное) образование. Не менее 4 лет профильного стажа и не менее 2 лет в должности главного специалиста, инженера или...",Осуществление функций Заказчика при строительстве объекта. Осуществление функции инженера строительного контроля на объекте. Организация совместной работы подрядных организаций на объекте...,between3And6,От 3 до 6 лет,708720,РН-Аэро,,,,
78006233,Менеджер по продажам / по работе с клиентами,https://hh.ru/applicant/vacancy_response?vacancyId=78006233,full,Полная занятость,37000,60000,"Мы с удовольствием рассмотрим кандидатов без опыта работы в банке! - Образование среднее профессиональное, высшее образование. - Грамотная речь, коммуникабельность. - ","Консультация клиентов по кредитам, вкладам, продажа страховых продуктов и дополнительных сервисов. - Оценка надежности и платежеспособности клиента по разработанной технологии. - ",between1And3,От 1 года до 3 лет,51420,КБ Пойдём!,44.159271,133.264354,,
80789604,Старший менеджер по обслуживанию,https://hh.ru/applicant/vacancy_response?vacancyId=80789604,full,Полная занятость,50400,,"Специалист со средним профессиональным, неполным высшим или высшим образованием. Будет плюсом, если у тебя есть опыт работы в сфере продаж...","Доброжелателен и готов помогать клиентам. Готов к работе, предполагающей ежедневное проведение однотипных операций. Осуществлять операции по обслуживанию клиентов. ",noExperience,Нет опыта,3529,СБЕР,,,,
81838873,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838873,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
82100911,Старший клиентский менеджер,https://hh.ru/applicant/vacancy_response?vacancyId=82100911,full,Полная занятость,56000,,"Специалист со средним профессиональным, неполным высшим или высшим образованием. Доброжелателен и готов помогать клиентам. Будет плюсом, если у тебя есть...",Предлагать продукты и услуги Сбера. Консультировать клиентов по возникающим вопросам. Помогать клиентам оформлять услуги и необходимые для них документы. ,noExperience,Нет опыта,3529,СБЕР,,,,
76462876,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462876,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
81335998,Оптометрист,https://hh.ru/applicant/vacancy_response?vacancyId=81335998,part,Частичная занятость,30000,,"Среднее профессиональное образование (повышенный уровень) по специальности ""Медицинская оптика"" и сертификат специалиста по специальности ""Медицинская оптика"". - Коммуникабельность, грамотная речь. - ",Работа с покупателями с целью выявления потребностей покупателей и формирования этих потребностей. - Осуществление исследований функций зрения пациентов с использованием современной...,noExperience,Нет опыта,9549189,ГОСАПТЕКА,44.155384,133.270687,,
82210653,"Продавец-консультант (г. Арсеньев, переулок Ирьянова 14)",https://hh.ru/applicant/vacancy_response?vacancyId=82210653,full,Полная занятость,30000,40000,Отличные коммуникативные навыки. Желание работать и развиваться в данной сферe.,"Консультирование покупателей. Выкладка продукции, оформление торгового зала рекламными материалами. Поддержание чистоты в торговом зале. Участие в инвентаризациях, приемке товара, расстановка...",noExperience,Нет опыта,5676487,Винлаб,44.153644,133.263464,,
82210620,"Старший продавец (г. Арсеньев, переулок Ирьянова 14)",https://hh.ru/applicant/vacancy_response?vacancyId=82210620,full,Полная занятость,33000,45000,"Знание кассовой дисциплины и ПК. Опыт работы в розничной торговле в качестве старшего продавца, администратора магазина. Организаторские способности. ","Организовывать эффективную работу магазина и качественное обслуживание покупателей. Контролировать работу персонала, кассовую дисциплину. Заказывать, принимать товар. Проводить переоценки, вести документооборот...",between1And3,От 1 года до 3 лет,5676487,Винлаб,44.153644,133.263464,,
81871759,Специалист по охране труда отделения ФПС ГПС (г. Арсеньев),https://hh.ru/applicant/vacancy_response?vacancyId=81871759,full,Полная занятость,22000,40000,"Высшее образование по направлению ""техносферная безопасность"", без предъявления требований к стажу работы; при среднем образовании опыт работы три года либо...","Своевременное и качественное выполнение приказов, распоряжений и указаний вышестоящего руководства. - Контроль за соблюдением законодательных и иных нормативных правовых актов по...",noExperience,Нет опыта,4527213,Главное управление МЧС России по Приморскому краю,44.16544,133.255398,,
82207056,Грузчик,https://hh.ru/applicant/vacancy_response?vacancyId=82207056,full,Полная занятость,34000,,"Рассматриваем кандидатов без опыта работы. Физическая выносливость. Внимательность, ответственность, аккуратность.",Погрузо-разгрузочный работы. Перемещение товара по территории магазина.,noExperience,Нет опыта,1456592,Компания Группа компаний Реми,44.167599,133.262171,,
80855118,Менеджер по продажам,https://hh.ru/applicant/vacancy_response?vacancyId=80855118,full,Полная занятость,70000,,Высшее / неполное высшее образование. Знание основных этапов продаж. Желание развиваться в банковской сфере. Готовность к разъездной работе.,"Привлекать корпоративных клиентов (без холодных звонков, прямые контакты на выделенной территории с клиентами ИП и малого бизнеса). Продавать продукты банка...",noExperience,Нет опыта,80,Альфа-Банк,,,,
79427186,Продавец-консультант в салон связи,https://hh.ru/applicant/vacancy_response?vacancyId=79427186,full,Полная занятость,35000,,"Если у тебя нет опыта, то мы всему научим!"".","Продажа мелкой цифровой техники ( планшеты, телефоны) и аксессуаров. Абонентское обслуживание (смена тарифа, подключение доп. услуг, пополнение баланса). Оформление кредитов, страховок. ",noExperience,Нет опыта,3653247,Мобильный Ритейл,,,,
80127100,Сборщик интернет заказов (ТЦ Радуга),https://hh.ru/applicant/vacancy_response?vacancyId=80127100,full,Полная занятость,31000,37000,"Желания обучаться, все остальное мы покажем и всему научим. Готовность к постоянному общению с людьми.",Собирать интернет заказы с помощью терминала сбора данных. Выдавать интернет-заказы покупателем. Выкладывать товар и обеспечивать его ценником: Поддерживать чистоту...,noExperience,Нет опыта,4465677,Бубль-Гум,44.155785,133.270417,,
80126925,Продавец-консультант (ТЦ Радуга),https://hh.ru/applicant/vacancy_response?vacancyId=80126925,full,Полная занятость,32000,38000,"Только желание обучаться, все остальное мы покажем и всему научим. Нам не важен твой опыт - нам важно твое желание учиться.",Консультировать покупателей. Выкладывать товар и размещать ценники. Производить расчет на кассе: Принимать участие в пересчете товара. Поддерживать чистоту в отделе.,noExperience,Нет опыта,4465677,Бубль-Гум,44.155785,133.270417,,
82205436,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=82205436,full,Полная занятость,80000,80000,,приготовление блюд по ТТК. - изготовление заготовок на следующую рабочую смену. - соблюдение должностной инструкции. - контроль качества отдаваемых блюд. - соблюдение стандартов компании. - ,between1And3,От 1 года до 3 лет,1115189,Манчжур-Морская шип-чандлерская служба,,,,
80684441,"Продавец-кассир (ул. Калининская, 9)",https://hh.ru/applicant/vacancy_response?vacancyId=80684441,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми. Стрессоустойчивость, энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,44.161508,133.266537,,
81728228,Директор магазина,https://hh.ru/applicant/vacancy_response?vacancyId=81728228,full,Полная занятость,70000,,"Опыт работы в аналогичной должности. Знание стандартов и методов качественного обслуживания покупателей. Пользователь ПК, MS Office, 1C. ","Увеличение объёма продаж, обеспечение достижения установленных показателей эффективности (выполнение KPI показателей). Управление персоналом: распределение функциональных обязанностей, проведение, собраний, мини-тренингов. ",between1And3,От 1 года до 3 лет,3786259,100ДЕЛ,44.152525,133.274774,,
81332144,Продавец-кассир электроинструментов,https://hh.ru/applicant/vacancy_response?vacancyId=81332144,full,Полная занятость,40000,,"Активная жизненная позиция. Желание работать и зарабатывать. Коммуникабельность, доброжелательность, умение расположить к себе.","Консультация покупателей в торговом зале, информирование о новинках. Поддержание высоких стандартов обслуживания. Предпродажная подготовка и выкладка товара, согласно правилам мерчендайзинга. ",noExperience,Нет опыта,3786259,100ДЕЛ,44.152525,133.274774,,
82205172,"Продавец-консультант ВинЛаб (г. Арсеньев, ул. Жуковского 39/4, Стахановская 40)",https://hh.ru/applicant/vacancy_response?vacancyId=82205172,full,Полная занятость,25000,31000,"Знание кассовой дисциплины и ПК. Опыт работы в розничной торговле в качестве старшего продавца, администратора магазина. Организаторские способности. ","Организовывать эффективную работу магазина и качественное обслуживание покупателей. Контролировать работу персонала, кассовую дисциплину. Заказывать, принимать товар. Проводить переоценки, вести документооборот...",noExperience,Нет опыта,5676487,Винлаб,,,,
