id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
82216156,Продавец в магазин МТС,https://hh.ru/applicant/vacancy_response?vacancyId=82216156,full,Полная занятость,38000,49000,,,noExperience,Нет опыта,2537115,Розничная сеть МТС,43.353381,132.180914,,
81907193,Водитель топливозаправщика,https://hh.ru/applicant/vacancy_response?vacancyId=81907193,full,Полная занятость,,60000,"Среднее общее образование. Водительское удостоверение категорий «В», «С», «Е», приветствуется: удостоверение тракториста-машиниста категории «Д». Опыт работы не менее 3...",Перевозка опасных грузов по дорогам общего пользования. Управление спецоборудованием спецмашин в соответствии с технологическими инструкциями и эксплуатационными документами. ,between3And6,От 3 до 6 лет,708720,РН-Аэро,,,,
81883279,Главный специалист / Инженер по сопровождению строительства,https://hh.ru/applicant/vacancy_response?vacancyId=81883279,full,Полная занятость,,104000,"Высшее (строительное) образование. Не менее 4 лет профильного стажа и не менее 2 лет в должности главного специалиста, инженера или...",Осуществление функций Заказчика при строительстве объекта. Осуществление функции инженера строительного контроля на объекте. Организация совместной работы подрядных организаций на объекте...,between3And6,От 3 до 6 лет,708720,РН-Аэро,,,,
81693598,Главный специалист по сопровождению IT / Системный администратор,https://hh.ru/applicant/vacancy_response?vacancyId=81693598,full,Полная занятость,80000,,"Высшее профильное образование. Опыт работы не менее 4-х лет. Уверенное пользование ПК. Знание основ системного администрирования, принципов построения системы...","Осуществление организации бесперебойного функционирования аппаратных и программных средств, входящих в ИТ-структуру Филиала и его обособленных подразделений в части сетевой...",between3And6,От 3 до 6 лет,708720,РН-Аэро,,,,
81693473,Инженер по КИП и А,https://hh.ru/applicant/vacancy_response?vacancyId=81693473,full,Полная занятость,109000,,Высшее (техническое) образование. Опыт работы: Не менее 2-х лет профильного стажа и года в должности инженера или приравненных к...,"Обеспечение четкой и бесперебойной работы контрольно-измерительных приборов и автоматики (далее по тексту КИП и А). Обеспечение технического обслуживания, своевременного...",between1And3,От 1 года до 3 лет,708720,РН-Аэро,43.396447,132.171221,,
79297735,Инженер по оборудованию,https://hh.ru/applicant/vacancy_response?vacancyId=79297735,full,Полная занятость,,109000,"Высшее техническое образование. Опыт работы не менее 2-х лет по профилю, в должности инженера или аналогичной должности не менее...","Обеспечение технически грамотной эксплуатации, технического обслуживания, своевременного ремонта сооружений технологического оборудования. Составление графиков технического обслуживания и ремонта сооружений и технологического...",between1And3,От 1 года до 3 лет,708720,РН-Аэро,,,,
81907513,Машинист оборудования распределительных нефтебаз,https://hh.ru/applicant/vacancy_response?vacancyId=81907513,full,Полная занятость,,46000,"Среднее общее образование. Не менее 1 года профильного стажа, либо без предъявления требований к стажу работы при наличии профильного образования.","Участие в процессе приема топлива в резервуарный склад. Проведение технического обслуживания технологического оборудования насосных станций ГСМ, резервуарного парка. ",between1And3,От 1 года до 3 лет,708720,РН-Аэро,,,,
78446654,Слесарь по ремонту автомобилей,https://hh.ru/applicant/vacancy_response?vacancyId=78446654,full,Полная занятость,,58000,Среднее специальное (техническое) образование. Стаж работы в должности слесарь по ремонту автомобилей не менее 3 лет.,"Обеспечение безаварийной и надежной работы автотранспорта. Проведение профилактического осмотра автотранспорта. Ремонт, техническое обслуживание, контроль технического состояния, разборка, ремонт и сборка...",between3And6,От 3 до 6 лет,708720,РН-Аэро,43.396447,132.171221,,
78446729,Электрогазосварщик (6 разряд),https://hh.ru/applicant/vacancy_response?vacancyId=78446729,full,Полная занятость,,98000,"Профессиональное обучение по программам профессиональной подготовки, переподготовки, повышения квалификации по профессиям рабочих и должностям служащих, как правило, в области, соответствующей...","Проверка работоспособности и исправности сварочного оборудования для РД, настройка сварочного оборудования для РД с учетом его специализированных функций (возможностей). ",between1And3,От 1 года до 3 лет,708720,РН-Аэро,,,,
78446767,Юрисконсульт,https://hh.ru/applicant/vacancy_response?vacancyId=78446767,full,Полная занятость,,80700,Высшее профессиональное (юридическое) образование. Опыт работы не менее 2-х лет по профилю и не менее 1 года в должности...,"Правовое обеспечение деятельности Филиала и линейно подчиненных ему Обособленных подразделений по профильным направлениям деятельности. Правовое обеспечение договорной работы, правовое обеспечение...",between1And3,От 1 года до 3 лет,708720,РН-Аэро,,,,
