id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80665271,Менеджер продаж финансовых продуктов,https://hh.ru/applicant/vacancy_response?vacancyId=80665271,full,Полная занятость,,,,Консультировать и продавать клиентам продукты банка на территории магазина-партнера ДНС. Подбирать для клиента подходящий продукт.,noExperience,Нет опыта,1496,Банк Хоум Кредит,,,,
38775065,Продавец-консультант в ювелирный салон,https://hh.ru/applicant/vacancy_response?vacancyId=38775065,full,Полная занятость,25000,,опыт в продажах приветствуется. -коммуникабельность и отзывчивость.,консультирование покупателей про продукции. -заключение договоров с покупателями. -выполнение плана продаж. -работа с программой 1с и кассовыми операциями.,noExperience,Нет опыта,1590260,Золотая мозаика,,,,
81838871,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838871,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
82101367,Старший клиентский менеджер,https://hh.ru/applicant/vacancy_response?vacancyId=82101367,full,Полная занятость,60000,,"Специалист со средним профессиональным, неполным высшим или высшим образованием. Доброжелателен и готов помогать клиентам. Будет плюсом, если у тебя есть...",Предлагать продукты и услуги Сбера. Консультировать клиентов по возникающим вопросам. Помогать клиентам оформлять услуги и необходимые для них документы. ,noExperience,Нет опыта,3529,СБЕР,,,,
76462875,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462875,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
82211601,Механик,https://hh.ru/applicant/vacancy_response?vacancyId=82211601,full,Полная занятость,150000,150000,"Опыт с тяжелой техникой обязателен от 1 года (экскаваторы, бульдозеры, всего 4 техники в обслуживании).",Ремонт и обслуживание техники.,between1And3,От 1 года до 3 лет,9622609,Стис,,,,
82209907,Мастер цеха по производству гофротары,https://hh.ru/applicant/vacancy_response?vacancyId=82209907,full,Полная занятость,,,Опыт работы на производстве. Навыки управления человеческими ресурсами. Знание 1С. Уверенный пользователь ПК.,Обеспечивать выполнение в установленные сроки производственных заданий. Контролировать соблюдение технологических процессов. Участвовать в освоении новых и совершенствовании действующих технологических процессов...,between1And3,От 1 года до 3 лет,697283,Группа Компаний «Доброфлот»,,,,
81269104,Специалист по продажам в салон сотовой связи TELE2,https://hh.ru/applicant/vacancy_response?vacancyId=81269104,full,Полная занятость,45000,,Ответственность. Коммуникабельность. Стрессоустойчивость. ОПЫТ РАБОТЫ НЕ ТРЕБУЕТСЯ!,Оформление сим карт. Работа с кассой. Консультация клиентов. Продажа мелкой цифровой техники и аксессуаров. Работа в команде.,noExperience,Нет опыта,3653247,Мобильный Ритейл,,,,
80990637,Инженер-сметчик,https://hh.ru/applicant/vacancy_response?vacancyId=80990637,full,Полная занятость,70000,150000,"Профильное образование: наличие высшего экономического или технического образования. Опыт работы в сфере не менее 3-и лет. Владение материалами, на...","Составление смет по всем видам общестроительных и специальных работ по проектной документации (чтение чертежей, подсчет объемов работ по чертежам) и...",between3And6,От 3 до 6 лет,9479325,"Московский филиал Китайской компании коммуникаций и строительства, ОП Приморский",,,,
81331688,Мастер общестроительных работ,https://hh.ru/applicant/vacancy_response?vacancyId=81331688,full,Полная занятость,120000,120000,"Знание ПБ и ОТ. Умение читать чертежи, знание Autocad.","Выполнение строительно-монтажных работ на объекте. Ведение журнала производства работ (бетонных, сварочных).",between3And6,От 3 до 6 лет,2607979,СТРОИТЕЛЬНАЯ КОМПАНИЯ ЗЕНИТ,,,,
80854344,Заместитель директора по производству (по корпусосборочному производству),https://hh.ru/applicant/vacancy_response?vacancyId=80854344,full,Полная занятость,,,Высшее профессиональное (техническое или инженерно-экономическое) образование по профилю профессиональной деятельности и стаж работы на руководящих должностях в соответствующей профилю...,Руководить производственной деятельностью подчиненных структурных подразделений. Осуществлять оперативный контроль за ходом производства в подчиненных структурных подразделениях. Осуществлять планирование производства в...,between3And6,От 3 до 6 лет,2730917,Судостроительный комплекс Звезда,43.1162,132.341335,,
82182233,Креативный редактор входящих обращений,https://hh.ru/applicant/vacancy_response?vacancyId=82182233,full,Полная занятость,30000,65000,ПК или Ноутбук с Интернетом; ОПЫТ РАБОТЫ НЕ ТРЕБУЕТСЯ! Усидчивость и настрой на монотонную работу.,"Записывать или редактировать данные из электронных писем (без звонков). Копирайтинг, ввод данных и никакого общения с клиентами.",noExperience,Нет опыта,9395611,LiteJob,,,,
81945451,Удаленный специалист службы поддержки,https://hh.ru/applicant/vacancy_response?vacancyId=81945451,full,Полная занятость,26000,40000,Умеет принимать самостоятельные решения.,"Работа с клиентами и партнерами для решения разнообразных ситуаций. Работа с входящими письменными обращениями во внутренней CRM-системе, редкие исходящие...",noExperience,Нет опыта,1740,Яндекс,,,,
81593229,"Оператор на входящие сообщения (удаленно, в Яндекс)",https://hh.ru/applicant/vacancy_response?vacancyId=81593229,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81538112,"Диспетчер чатов, удаленно",https://hh.ru/applicant/vacancy_response?vacancyId=81538112,full,Полная занятость,26000,40000,Опыт работы не требуется. Обязательно наличие ПК или ноутбука. Будет плюсом опыт работы на вакансиях:,,noExperience,Нет опыта,1740,Яндекс,,,,
81535933,Менеджер чатов на дому (в Яндекс),https://hh.ru/applicant/vacancy_response?vacancyId=81535933,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81534788,"Менеджер чатов, удалённо (в Яндекс)",https://hh.ru/applicant/vacancy_response?vacancyId=81534788,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81533559,Удаленный диспетчер чатов (в Яндекс),https://hh.ru/applicant/vacancy_response?vacancyId=81533559,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
82158320,Водитель автосамосвала,https://hh.ru/applicant/vacancy_response?vacancyId=82158320,full,Полная занятость,130000,180000,Желание работать.,"Обслуживание ТС (ЕТО, ТО, мелкий ремонт). Заполнение сопроводительной документации (путевой лист, отчет о работе, ведомость ГСМ, бортовой журнал). ",between1And3,От 1 года до 3 лет,6051445,Альфа-Кар ТРАК,,,,
81627099,Менеджер по продажам в салон сотовой связи TELE2,https://hh.ru/applicant/vacancy_response?vacancyId=81627099,full,Полная занятость,45000,,Ответственность. Коммуникабельность. Стрессоустойчивость. ОПЫТ РАБОТЫ НЕ ТРЕБУЕТСЯ!,Оформление сим карт. Работа с кассой. Консультация клиентов. Продажа мелкой цифровой техники и аксессуаров. Работа в команде.,noExperience,Нет опыта,3653247,Мобильный Ритейл,,,,
79761613,Врач ультразвуковой диагностики,https://hh.ru/applicant/vacancy_response?vacancyId=79761613,full,Полная занятость,,,"Высшее медицинское образование. Действующий сертификат по специальности ""Ультразвуковая диагностика"". Опыт работы по специальности от 1 года. Клиентоориентированность.","Проведение УЗИ диагностики брюшной полости, почек, молочных желез, мочевого пузыря, мягких тканей, лимфатических узлов, щитовидной железы, суставов.",between1And3,От 1 года до 3 лет,5072989,Группа компаний ТАФИ,,,,
82147990,Директор магазина,https://hh.ru/applicant/vacancy_response?vacancyId=82147990,full,Полная занятость,75000,90000,"Умеете организовать работу магазина с большой площадью. Умеете управлять, обучать и развивать сотрудников. С опытом работы на позиции директора ( желательна...","Обеспечение бесперебойной и эффективной работы магазина. Обеспечение выполнения плана продаж магазина. Управление персоналом: планирование рабочих графиков персонала, адаптация, обучение и...",between1And3,От 1 года до 3 лет,969031,КАРИ,43.107658,132.349312,,
82147835,Продавец-консультант в Большом Камне,https://hh.ru/applicant/vacancy_response?vacancyId=82147835,full,Полная занятость,40000,55000,"образование средне-специальное и выше. -стрессоустойчивость, ответственность, активность. -обучаемость, коммуникабельность. -опыт в продажах непродовольственных товаров будет вашим преимуществом.","обслуживание покупателей. -документальное оформление покупки. -оформление витрин, стеллажей, поддержание чистоты и порядка на рабочем месте.",noExperience,Нет опыта,732829,Домотехника,43.113844,132.35392,,
81836416,Электромонтажник,https://hh.ru/applicant/vacancy_response?vacancyId=81836416,full,Полная занятость,50000,60000,"Профильное образование, опыт работы в данном направлении от 1 года.",Электромонтажные работы при проведении капитального ремонта здания. Оперативное устранение аварийных ситуаций.,between1And3,От 1 года до 3 лет,5232598,Госкапстрой,,,,
80994271,Кладовщик,https://hh.ru/applicant/vacancy_response?vacancyId=80994271,full,Полная занятость,41000,60000,,Участвовать в погрузочно/разгрузочных работах. Заниматься расстановкой и перемещением товара на складе. Комплектацией заявок. Взаимодействовать с клиентами по вопросам гарантийного...,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.110883286158845,132.3542757166014,,
77747755,Сотрудник выдачи,https://hh.ru/applicant/vacancy_response?vacancyId=77747755,full,Полная занятость,37500,60000,,"Выдавать и демонстрировать товар, в том числе крупно-бытовую технику. Заполнять гарантийные талоны. Участвовать в инвентаризации. Размещать товары на складе...",noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.110883286158845,132.3542757166014,,
76894582,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=76894582,full,Полная занятость,40000,100000,,Консультировать покупателей и оформлять продажи. Проверять и выдавать товар клиентам. Заполнять сопутствующие документы. Участвовать в погрузочно/разгрузочных работах. ,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.110883286158845,132.3542757166014,,
82146783,Врач-невролог,https://hh.ru/applicant/vacancy_response?vacancyId=82146783,full,Полная занятость,100000,,"Наличие действующего сертификата/аккредитации по специальности ""Неврология"".","Оказание специализированной медицинской помощи по профилю ""Неврология"" в условиях круглосуточного стационара.",noExperience,Нет опыта,1718973,КГБУЗ Городская больница № 7 министерства здравоохранения Хабаровского края,,,,
82146548,Инженер-метролог,https://hh.ru/applicant/vacancy_response?vacancyId=82146548,full,Полная занятость,,,"Профильное высшее образование (качество, метрология), либо опыт работы по профилю деятельности (метрология). Опыт организации работ в сфере метрологии. ","Устанавливает периодичность поверок средств измерений (СИ), разрабатывает календарные графики их проведения. Контролирует и организовывает транспортировку СИ к месту поверки/калибровки...",between1And3,От 1 года до 3 лет,697283,Группа Компаний «Доброфлот»,,,,
76421160,Инженер-технолог,https://hh.ru/applicant/vacancy_response?vacancyId=76421160,full,Полная занятость,,,Опыт работы от 1 года. Высшее образование (техническое). Опыт работы на судоремонтном предприятии или с металлоконструкциями.,"Участие в работе дефектовочной комиссии по дефектации судоремонтных работ, работ по модернизации производственной оснастки, судостроению. Составление дефектовочных актов, оформление Актов...",between1And3,От 1 года до 3 лет,697283,Группа Компаний «Доброфлот»,,,,
82139807,Оператор раннего взыскания (удалённо),https://hh.ru/applicant/vacancy_response?vacancyId=82139807,full,Полная занятость,37000,,Четкую и грамотную речь. Умение аргументировать свою позицию. Это пригодится и в работе и в жизни. Стрессоустойчивость: вести диалог в...,"Вести переговоры с клиентом и его окружением. Совершать исходящие и принимать входящие звонки. Выставлять требование на оплату долга, договариваться о...",noExperience,Нет опыта,78638,Тинькофф,,,,
82137314,Электромонтажник судовой/промышленный,https://hh.ru/applicant/vacancy_response?vacancyId=82137314,full,Полная занятость,150000,200000,"Квалификация 3-4 р., официально подтвержденный разряд и стаж. Уверенное чтение чертежей, схем, кабельного журнала. Опыт работы в судостроении и...","Прокладка, крепление, ввод, включение электрооборудования. Сушка индукционным способом, контактное и защитное оконцевание кабелей различных марок, выполнение других электромонтажных работ под...",between3And6,От 3 до 6 лет,4266362,Техмаш,,,,
81819742,Пескоструйщик - маляр (промышленный альпинист),https://hh.ru/applicant/vacancy_response?vacancyId=81819742,full,Полная занятость,120000,180000,"Удостоверение промышленного альпиниста и маляра (пескоструйщика). Опыт с АКЗ, ОГЗ .",Пескоструйная очистка.,between1And3,От 1 года до 3 лет,2249552,Апекс Групп,,,,
81820288,Подсобный рабочий,https://hh.ru/applicant/vacancy_response?vacancyId=81820288,full,Полная занятость,70000,,,"уборка строительного мусора, очистка оборудования. ТРЕБОВАНИЯ: -выполнение подсобных и вспомогательных работ.",noExperience,Нет опыта,2249552,Апекс Групп,,,,
81641786,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641786,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
80782550,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=80782550,full,Полная занятость,100000,160000,Высшее профильное образование. Опыт в инженерных изысканиях приветствуется. У вас есть водительское удостоверение категории В. Знание современного программного обеспечения MS...,"Организовывать и проводить геодезические съемки. Осуществлять камеральную обработку полевых материалов. Составлять топографо-геодезические карты, планы и другие графические материалы. ",between1And3,От 1 года до 3 лет,2987601,АртГЕО-ДВ,,,,
