id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81838870,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838870,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
76462873,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462873,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
81691530,Кладовщик-комплектовщик,https://hh.ru/applicant/vacancy_response?vacancyId=81691530,full,Полная занятость,45000,53000,Работоспособность. Обучаемость.,Учет товара на склада. Приемка товара.,noExperience,Нет опыта,716137,Проект,44.549888,135.512675,,
81927436,Оператор -фактуровщик,https://hh.ru/applicant/vacancy_response?vacancyId=81927436,full,Полная занятость,31500,31500,Знание основ работы 1с.,Обработка заявок в 1с. Печать и формирование пакета документов.,noExperience,Нет опыта,716137,Проект,,,,
80203269,Торговый представитель,https://hh.ru/applicant/vacancy_response?vacancyId=80203269,full,Полная занятость,60000,70000,Опыт личных продаж. Знание первичных финансовых документов. Знание техники продаж. Умение проводить переговоры. Знание основ мерчендайзинга.,Работа с действующей клиентской базой. Анализ и планирование товарных запасов. Поиск новых клиентов. Контроль дебиторской задолженности.,between1And3,От 1 года до 3 лет,716137,Проект,44.549888,135.512675,,
81691315,Водитель-экспедитор,https://hh.ru/applicant/vacancy_response?vacancyId=81691315,full,Полная занятость,60000,70000,ВС категория.,Погрузка. Выгрузка товара. Обеспечение сохранности груза. Вывоз товара по торговым точкам. Заполнение сопутствующих документов.,noExperience,Нет опыта,716137,Проект,44.549888,135.512675,,
80079511,Мастер по обслуживанию абонентов,https://hh.ru/applicant/vacancy_response?vacancyId=80079511,full,Полная занятость,40000,43000,"Готовы рассмотреть кандидатов без опыта, с желанием обучаться и расти в компании. Для работы может потребоваться автомобиль.","Устранение неполадок на площадке абонента. Подключение абонентов к услугам компании (интернет, ТВ, телефония, видеонаблюдение).",noExperience,Нет опыта,2748,Ростелеком,,,,
81065775,Продавец,https://hh.ru/applicant/vacancy_response?vacancyId=81065775,full,Полная занятость,35000,60000,коммуникабельность. -обучаемость. -активность. -опыт кассовой работы не менее года будет вашим преимуществом.,"обслуживание покупателей. - документальное оформление покупки. - оформление витрин, стеллажей, поддержание чистоты и порядка на рабочем месте.",noExperience,Нет опыта,732829,Домотехника,44.558886,135.578108,,
81232521,Представитель Тинькофф,https://hh.ru/applicant/vacancy_response?vacancyId=81232521,full,Полная занятость,45000,,Умение найти индивидуальный подход к клиенту и рассказать об актуальном для него продукте. Понимание техники продаж и готовность развивать этот...,"Встречаться с клиентами лично: доставлять им карты банка и пакеты с документами. Рассказывать о выгоде и преимуществах выбранного продукта, предлагать...",noExperience,Нет опыта,78638,Тинькофф,,,,
82182380,Оператор раннего взыскания (удалённо),https://hh.ru/applicant/vacancy_response?vacancyId=82182380,full,Полная занятость,37000,,Четкую и грамотную речь. Умение аргументировать свою позицию. Это пригодится и в работе и в жизни. Стрессоустойчивость: вести диалог в...,"Вести переговоры с клиентом и его окружением. Совершать исходящие и принимать входящие звонки. Выставлять требование на оплату долга, договариваться о...",noExperience,Нет опыта,78638,Тинькофф,,,,
