id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81838869,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838869,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
76462872,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462872,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
82207850,Слесарь (в пгт Сибирцево),https://hh.ru/applicant/vacancy_response?vacancyId=82207850,full,Полная занятость,60000,80000,"Желательно наличие образования, квалификация ""Слесарь"". Без предъявления требований к стажу (принимаем на работу без опыта работы). Среднее профессиональное образование (в...",Ремонт тягового подвижного состава. Разборка вспомогательных частей ремонтируемого объекта подвижного состава. Разборка и сборка основных узлов с различными типами посадок. ,noExperience,Нет опыта,9732767,Филиал Дальневосточный ООО ЛокоТех-Сервис,,,,
82182383,Оператор раннего взыскания (удалённо),https://hh.ru/applicant/vacancy_response?vacancyId=82182383,full,Полная занятость,37000,,Четкую и грамотную речь. Умение аргументировать свою позицию. Это пригодится и в работе и в жизни. Стрессоустойчивость: вести диалог в...,"Вести переговоры с клиентом и его окружением. Совершать исходящие и принимать входящие звонки. Выставлять требование на оплату долга, договариваться о...",noExperience,Нет опыта,78638,Тинькофф,,,,
81945449,Удаленный специалист службы поддержки,https://hh.ru/applicant/vacancy_response?vacancyId=81945449,full,Полная занятость,26000,40000,Умеет принимать самостоятельные решения.,"Работа с клиентами и партнерами для решения разнообразных ситуаций. Работа с входящими письменными обращениями во внутренней CRM-системе, редкие исходящие...",noExperience,Нет опыта,1740,Яндекс,,,,
81593227,"Оператор на входящие сообщения (удаленно, в Яндекс)",https://hh.ru/applicant/vacancy_response?vacancyId=81593227,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81538109,"Диспетчер чатов, удаленно",https://hh.ru/applicant/vacancy_response?vacancyId=81538109,full,Полная занятость,26000,40000,Опыт работы не требуется. Обязательно наличие ПК или ноутбука. Будет плюсом опыт работы на вакансиях:,,noExperience,Нет опыта,1740,Яндекс,,,,
81535929,Менеджер чатов на дому (в Яндекс),https://hh.ru/applicant/vacancy_response?vacancyId=81535929,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81534786,"Менеджер чатов, удалённо (в Яндекс)",https://hh.ru/applicant/vacancy_response?vacancyId=81534786,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81533556,Удаленный диспетчер чатов (в Яндекс),https://hh.ru/applicant/vacancy_response?vacancyId=81533556,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
80336992,Грузчик на склад,https://hh.ru/applicant/vacancy_response?vacancyId=80336992,full,Полная занятость,34000,,"Трудолюбие, внимательность, ответственность. Опыт работы на складе приветствуется.",Прием и разгрузка продукции. Перемещение товара на территории склада.,noExperience,Нет опыта,57045,Мегаполис,45.936253,133.758724,,
82146786,Врач-невролог,https://hh.ru/applicant/vacancy_response?vacancyId=82146786,full,Полная занятость,100000,,"Наличие действующего сертификата/аккредитации по специальности ""Неврология"".","Оказание специализированной медицинской помощи по профилю ""Неврология"" в условиях круглосуточного стационара.",noExperience,Нет опыта,1718973,КГБУЗ Городская больница № 7 министерства здравоохранения Хабаровского края,,,,
80923760,Электрогазосварщик,https://hh.ru/applicant/vacancy_response?vacancyId=80923760,full,Полная занятость,48000,48100,Среднее профессиональное образование. Опыт работы не менее 6-ти месяцев.,"Ручная дуговая, плазменная и газовая сварка сложных и ответственных аппаратов, деталей, узлов, конструкций и трубопроводов из различных сталей,чугуна, цветных...",between1And3,От 1 года до 3 лет,1126280,ДРСК Приморские электрические сети,,,,
81641788,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641788,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
82102096,Техник пивного оборудования,https://hh.ru/applicant/vacancy_response?vacancyId=82102096,full,Полная занятость,43500,,Знание методов осмотра оборудования и обнаружения дефектов. Знание основных требований по проведению санитарно-технической обработки оборудования.,Установка пивного оборудования в торговые точки. Проведение санитарно-технической обработки оборудования в соответствии с графиком. Ведение отчётности о результатах работы. ,noExperience,Нет опыта,57045,Мегаполис,45.936253,133.758724,,
81212938,Инженер-лаборант,https://hh.ru/applicant/vacancy_response?vacancyId=81212938,full,Полная занятость,145000,150000,"ТРЕБОВАНИЯ: чтение чертежей и технологической документации; знание ГОСТов и СНиП, знание измерительного инструмента; техническое образование не ниже среднего, навыки работы...","Обязанности: - анализы, испытания, измерения сырьевых компонентов, грунта бетона, готовой продукции. - ведение журналов послойного уплотнения насыпи, формирование актов пробного уплотнения и...",between3And6,От 3 до 6 лет,5483143,Альтэк Дв,,,,
81888392,Дорожный мастер,https://hh.ru/applicant/vacancy_response?vacancyId=81888392,full,Полная занятость,120000,160000,"знание технологического процесса устройства земляного полотна. Желателен опыт работы по устройству земляного полотна на железной дороге. Умение читать проектную, рабочую...","управление производственным процессом. -контроль за исправностью ТС, техники малой механизации. -ведение табеля выхода на работу. -ведение технической документации. -",between1And3,От 1 года до 3 лет,5483143,Альтэк Дв,,,,
78109112,Территориальный менеджер Розничной сети,https://hh.ru/applicant/vacancy_response?vacancyId=78109112,full,Полная занятость,83000,83000,"Высшее образование, опыт работы в сетевой рознице не менее 3 лет. Успешный опыт управления коллективом не менее 10 сотрудников от...","1. Достигать план продаж и целевые показатели эффективности магазинов на вверенной территории (магазины в Спасске-Дальнем, Лесозаводске, Дальнереченске, Сибирцево, Черниговке...",between1And3,От 1 года до 3 лет,596876,"ДИЛАН, Группа компаний",43.316326,131.97997,,
69549783,Инженер связи,https://hh.ru/applicant/vacancy_response?vacancyId=69549783,part,Частичная занятость,35000,50000,Техническое образование. Готовность к развитию (возможно в дальнейшем обучение на высотные работы).,Обслуживанием базовых станций Теле-2 и Мегафон. Устранением аварий на базовых станциях. Генерацией аварийного электропитания базовых станций. Выполнением технического обслуживания...,between1And3,От 1 года до 3 лет,2748,Ростелеком,45.923377,133.741593,,
82085692,Водитель автомобиля на вывозке леса,https://hh.ru/applicant/vacancy_response?vacancyId=82085692,full,Полная занятость,80000,,"6. Знание внутреннего устройства импортных грузовых автомобилей. Требования: 1. Опыт работы от 3 лет на лесовозах зарубежных производителей (SHACMAN, MERCEDES). ","2. Контроль выполнения погрузочно-разгрузочных работ, соблюдение техники безопасности при погрузо-разгрузочных работах. 3. Материальная ответственность за груз. 4. ",between3And6,От 3 до 6 лет,606667,RFP Group,,,,
