id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81838867,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838867,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
82101829,Старший менеджер по работе с клиентами,https://hh.ru/applicant/vacancy_response?vacancyId=82101829,full,Полная занятость,51900,,"Специалист с неполным высшим, средним профессиональным или высшим образованием. Доброжелателен и готов помогать клиентам. Активно используешь гаджеты и программы MS...","Консультировать клиентов по всем продуктам и услугам Сбера, включая ипотеку. Продавать банковские продукты, услуги и помогать с их оформлением. ",noExperience,Нет опыта,3529,СБЕР,,,,
76462870,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462870,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
82208124,Слесарь,https://hh.ru/applicant/vacancy_response?vacancyId=82208124,full,Полная занятость,40000,60000,"Желательно наличие образования, квалификации о профессии «Слесарь по ремонту электрооборудования». Трудоустраиваем кандидатов без предъявления требований к стажу (принимаем на работу...","Выполнять работы по разборке, ремонту и монтажу оборудования подвижного состава. Подготавливать подвижной состав к техническому обслуживанию и ремонту. ",noExperience,Нет опыта,9732767,Филиал Дальневосточный ООО ЛокоТех-Сервис,43.278198,132.45331,,
82207848,Слесарь (в пгт Сибирцево),https://hh.ru/applicant/vacancy_response?vacancyId=82207848,full,Полная занятость,60000,80000,"Желательно наличие образования, квалификация ""Слесарь"". Без предъявления требований к стажу (принимаем на работу без опыта работы). Среднее профессиональное образование (в...",Ремонт тягового подвижного состава. Разборка вспомогательных частей ремонтируемого объекта подвижного состава. Разборка и сборка основных узлов с различными типами посадок. ,noExperience,Нет опыта,9732767,Филиал Дальневосточный ООО ЛокоТех-Сервис,,,,
81680844,"Старший продавец-Администратор ВинЛаб (г. Лесозаводск, ул. Челюскина, 17)",https://hh.ru/applicant/vacancy_response?vacancyId=81680844,full,Полная занятость,28000,35000,"Знание кассовой дисциплины и ПК. Опыт работы в розничной торговле в качестве старшего продавца, администратора магазина. Организаторские способности. ","Организовывать эффективную работу магазина и качественное обслуживание покупателей. Контролировать работу персонала, кассовую дисциплину. Заказывать, принимать товар. Проводить переоценки, вести документооборот...",between1And3,От 1 года до 3 лет,5676487,Винлаб,,,,
82187195,Удаленный оператор ввода текста,https://hh.ru/applicant/vacancy_response?vacancyId=82187195,full,Полная занятость,60000,,ПК или ноутбук с доступом в Интернет. Опыт работы не обязателен! Усидчивость и готовность к монотонной работе.,"Запись и редактирование текста на основе электронных писем, чатов, аудиозаписей или изображений. Копирайтинг, ввод данных без необходимости взаимодействия с клиентами. ",noExperience,Нет опыта,9395611,LiteJob,,,,
81260733,Представитель Тинькофф,https://hh.ru/applicant/vacancy_response?vacancyId=81260733,full,Полная занятость,45000,,Умение найти индивидуальный подход к клиенту и рассказать об актуальном для него продукте. Понимание техники продаж и готовность развивать этот...,"Встречаться с клиентами лично: доставлять им карты банка и пакеты с документами. Рассказывать о выгоде и преимуществах выбранного продукта, предлагать...",noExperience,Нет опыта,78638,Тинькофф,,,,
79359941,Монтажник слаботочных систем,https://hh.ru/applicant/vacancy_response?vacancyId=79359941,full,Полная занятость,35000,,Готовы рассмотреть начинающих специалистов без опыта работы и профильного образования.,"Установка и настройка клиентского оборудования (маршрутизаторы, сетевые Wi-Fi-адаптеры, IPTV-приставки). Консультация и продажа услуг, продуктов компании. ",noExperience,Нет опыта,2748,Ростелеком,,,,
79360080,Мастер по обслуживанию абонентов,https://hh.ru/applicant/vacancy_response?vacancyId=79360080,full,Полная занятость,35000,,Желательны навыки общения с клиентами. Разъездной характер работы. Готовы рассмотреть начинающих специалистов без опыта работы и профильного образования.,"Техническая поддержка действующих абонентов (устранение повреждений, настройка, замена оконечного оборудования). Подключение услуг компании (интернет, интерактивное телевидение, домашний телефон, видеонаблюдение). ",noExperience,Нет опыта,2748,Ростелеком,,,,
81945444,Удаленный специалист службы поддержки,https://hh.ru/applicant/vacancy_response?vacancyId=81945444,full,Полная занятость,26000,40000,Умеет принимать самостоятельные решения.,"Работа с клиентами и партнерами для решения разнообразных ситуаций. Работа с входящими письменными обращениями во внутренней CRM-системе, редкие исходящие...",noExperience,Нет опыта,1740,Яндекс,,,,
82166742,Оператор по назначению встреч (удалённо),https://hh.ru/applicant/vacancy_response?vacancyId=82166742,full,Полная занятость,35000,,Полное среднее образование и выше. Внимательность к деталям. Уверенность в себе и умение расположить клиента. Четкая и грамотная речь.,"Консультировать действующих и потенциальных клиентов по теплой базе на исходящих звонках. Назначать удобную дату, время и место встречи с представителем. ",noExperience,Нет опыта,78638,Тинькофф,,,,
