id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
82215349,Бухгалтер по учёту ТМЦ и ОС,https://hh.ru/applicant/vacancy_response?vacancyId=82215349,full,Полная занятость,,,Высшее/средне-специальное экономическое образование. Аналогичный опыт работы от 1 года. Опыт работы на производственных предприятиях приветствуется. Хорошее знание ПК...,"Организация и ведение оперативного, бухгалтерского и управленческого учета ТМЦ и ОС. Формирование внутренней управленческой отчетности. Работа с авансовыми отчётами. ",between1And3,От 1 года до 3 лет,697283,Группа Компаний «Доброфлот»,42.862675,132.696259,,
48266958,Продавец-консультант в Ювелирный салон,https://hh.ru/applicant/vacancy_response?vacancyId=48266958,full,Полная занятость,25000,,опыт в продажах приветствуется. -коммуникабельность и отзывчивость.,консультирование покупателей про продукции. -заключение договоров с покупателями. -выполнение плана продаж. -работа с программой 1с и кассовыми операциями.,noExperience,Нет опыта,1590260,Золотая мозаика,,,,
80374760,Монтажник интернет-сетей,https://hh.ru/applicant/vacancy_response?vacancyId=80374760,full,Полная занятость,55000,,Есть интерес к сфере телекома и желание развиваться в заданном направлении ( нет опыта- мы научим!). Имеется опыт монтажных работ линий...,"Подключение услуг Компании. Монтаж, установка и настройка оконечного абонентского оборудования. Демонстрация работоспособности услуг. Консультация пользователей по вопросам настройки абонентского оборудования...",noExperience,Нет опыта,2748,Ростелеком,,,,
81556516,Старший клиентский менеджер,https://hh.ru/applicant/vacancy_response?vacancyId=81556516,full,Полная занятость,56000,,"Специалист со средним профессиональным, неполным высшим или высшим образованием. Доброжелателен и готов помогать клиентам. Будет плюсом, если у тебя есть...",Предлагать продукты и услуги Сбера. Консультировать клиентов по возникающим вопросам. Помогать клиентам оформлять услуги и необходимые для них документы. ,noExperience,Нет опыта,3529,СБЕР,,,,
81557602,Старший менеджер по обслуживанию,https://hh.ru/applicant/vacancy_response?vacancyId=81557602,full,Полная занятость,50400,,"Специалист со средним профессиональным, неполным высшим или высшим образованием. Будет плюсом, если у тебя есть опыт работы в сфере продаж...","Доброжелателен и готов помогать клиентам. Готов к работе, предполагающей ежедневное проведение однотипных операций. Осуществлять операции по обслуживанию клиентов. ",noExperience,Нет опыта,3529,СБЕР,,,,
81838866,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838866,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
78273209,Работник ночной смены предприятия «Вкусно - и точка»,https://hh.ru/applicant/vacancy_response?vacancyId=78273209,full,Полная занятость,,,"Наличие документов, необходимых для трудоустройства по ТК РФ. Возраст от 18 лет. Опыт не требуется.","Готовить предприятие к ежедневному открытию для визитов наших гостей, поддерживая чистоту и порядок в помещениях. Проводить профилактику кухонного оборудования и...",noExperience,Нет опыта,2624085,Вкусно — и точка,,,,
76462869,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462869,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
81716768,Работник предприятия «Вкусно – и точка»,https://hh.ru/applicant/vacancy_response?vacancyId=81716768,full,Полная занятость,,,Более 30 лет опыта работы по международным стандартам качества в индустрии гостеприимства на рынке России.,принимать гостей и дарить им то самое отличное обслуживание. - поддерживать помещения в чистом и красивом виде.,noExperience,Нет опыта,2624085,Вкусно — и точка,,,,
82213459,Слесарь-наладчик сварочного оборудования,https://hh.ru/applicant/vacancy_response?vacancyId=82213459,full,Полная занятость,50000,,"Опыт в ремонте и наладке сварочных аппаратов обязателен от 3-х лет. Начальное, среднее профессиональное образование(электрик, электромеханик).",Работа на территории организации (г Находка).,between3And6,От 3 до 6 лет,1949202,Находкинский судоремонтный завод,42.800743,132.876075,,
