id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80665345,Менеджер продаж финансовых продуктов,https://hh.ru/applicant/vacancy_response?vacancyId=80665345,full,Полная занятость,,,,"Оформление товара в кредит или рассрочку, продажа банковских продуктов клиентам на территории магазина-партнера. Подключение дополнительных услуг нашего Банка, активная...",noExperience,Нет опыта,1496,Банк Хоум Кредит,,,,
45696251,Продавец-консультант в Ювелирный салон,https://hh.ru/applicant/vacancy_response?vacancyId=45696251,full,Полная занятость,25000,60000,опыт в продажах приветствуется. -коммуникабельность и отзывчивость.,консультирование покупателей по продукции. -заключение договоров с покупателями. -выполнение плана продаж. -работа с программой 1с и кассовыми операциями.,noExperience,Нет опыта,1590260,Золотая мозаика,,,,
81838864,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838864,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
76462868,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462868,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
81871783,Специалист по охране труда отделения ФПС ГПС (г. Партизанск),https://hh.ru/applicant/vacancy_response?vacancyId=81871783,full,Полная занятость,22000,40000,"Высшее образование по направлению ""техносферная безопасность"", без предъявления требований к стажу работы; при среднем образовании опыт работы три года либо...","Своевременное и качественное выполнение приказов, распоряжений и указаний вышестоящего руководства. - Контроль за соблюдением законодательных и иных нормативных правовых актов по...",noExperience,Нет опыта,4527213,Главное управление МЧС России по Приморскому краю,43.118964,133.126606,,
82207189,Монтер пути,https://hh.ru/applicant/vacancy_response?vacancyId=82207189,full,Полная занятость,60000,65000,ОПЫТ РАБОТЫ НЕ ТРЕБУЕТСЯ.,"Монтаж, демонтаж и ремонт конструкций верхнего строения пути (рельсы, шпалы, брусья, блоки). Выполнение работ по текущему содержанию железнодорожного пути. ",noExperience,Нет опыта,23427,Российские железные дороги,43.1474201,133.142143,,
82205063,"Удаленный сотрудник ввода текста (на ввод данных, подработка, без обзвонов)",https://hh.ru/applicant/vacancy_response?vacancyId=82205063,full,Полная занятость,65000,70000,ПК или Ноутбук с Интернетом; ОПЫТ РАБОТЫ НЕ ТРЕБУЕТСЯ! Усидчивость и настрой на монотонную работу.,"Помочь с записью и редактированием содержимого электронных писем. Копирайтинг, ввод данных без общения с клиентами. Ваша работа будет индивидуальной и...",noExperience,Нет опыта,9395611,LiteJob,,,,
81945441,Удаленный специалист службы поддержки,https://hh.ru/applicant/vacancy_response?vacancyId=81945441,full,Полная занятость,26000,40000,Умеет принимать самостоятельные решения.,"Работа с клиентами и партнерами для решения разнообразных ситуаций. Работа с входящими письменными обращениями во внутренней CRM-системе, редкие исходящие...",noExperience,Нет опыта,1740,Яндекс,,,,
81593224,"Оператор на входящие сообщения (удаленно, в Яндекс)",https://hh.ru/applicant/vacancy_response?vacancyId=81593224,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81538105,"Диспетчер чатов, удаленно",https://hh.ru/applicant/vacancy_response?vacancyId=81538105,full,Полная занятость,26000,40000,Опыт работы не требуется. Обязательно наличие ПК или ноутбука. Будет плюсом опыт работы на вакансиях:,,noExperience,Нет опыта,1740,Яндекс,,,,
81535924,Менеджер чатов на дому (в Яндекс),https://hh.ru/applicant/vacancy_response?vacancyId=81535924,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81534780,"Менеджер чатов, удалённо (в Яндекс)",https://hh.ru/applicant/vacancy_response?vacancyId=81534780,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
81533553,Удаленный диспетчер чатов (в Яндекс),https://hh.ru/applicant/vacancy_response?vacancyId=81533553,full,Полная занятость,26000,40000,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,Работать с клиентами или партнерами для решения разнообразных ситуаций. Совершать звонки по их обращениям и давать письменные ответы. ,noExperience,Нет опыта,1740,Яндекс,,,,
82158321,Водитель автосамосвала,https://hh.ru/applicant/vacancy_response?vacancyId=82158321,full,Полная занятость,130000,180000,Желание работать.,"Обслуживание ТС (ЕТО, ТО, мелкий ремонт). Заполнение сопроводительной документации (путевой лист, отчет о работе, ведомость ГСМ, бортовой журнал). ",between1And3,От 1 года до 3 лет,6051445,Альфа-Кар ТРАК,,,,
82154034,Фармацевт (Октябрьская 8),https://hh.ru/applicant/vacancy_response?vacancyId=82154034,full,Полная занятость,65000,,Для специалистов с опытом работы более 1 года - от 70 000 руб. Для специалистов без опыта или с опытом работы...,Консультировать покупателей при выборе лекарственных средств и товаров для красоты и здоровья. Осуществлять отпуск товара на кассе. Соблюдать фармацевтический порядок. ,noExperience,Нет опыта,903783,Холдинг Монастырев,43.109211,131.941629,,
