id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80789607,Старший клиентский менеджер,https://hh.ru/applicant/vacancy_response?vacancyId=80789607,full,Полная занятость,56000,,"Специалист со средним профессиональным, неполным высшим или высшим образованием. Доброжелателен и готов помогать клиентам. Будет плюсом, если у тебя есть...",Предлагать продукты и услуги Сбера. Консультировать клиентов по возникающим вопросам. Помогать клиентам оформлять услуги и необходимые для них документы. ,noExperience,Нет опыта,3529,СБЕР,,,,
81838862,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838862,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
76462867,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462867,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
82207849,Слесарь (в пгт Сибирцево),https://hh.ru/applicant/vacancy_response?vacancyId=82207849,full,Полная занятость,60000,80000,"Желательно наличие образования, квалификация ""Слесарь"". Без предъявления требований к стажу (принимаем на работу без опыта работы). Среднее профессиональное образование (в...",Ремонт тягового подвижного состава. Разборка вспомогательных частей ремонтируемого объекта подвижного состава. Разборка и сборка основных узлов с различными типами посадок. ,noExperience,Нет опыта,9732767,Филиал Дальневосточный ООО ЛокоТех-Сервис,,,,
68496036,Установщик кондиционеров,https://hh.ru/applicant/vacancy_response?vacancyId=68496036,full,Полная занятость,,,"опыт в установках кондиционеров. - приветствуется наличие технического образования (слесарь-сантехник/электрик/инженер), опыт аналогичной деятельности. Для работы потребуются инструменты.",установка и обслуживание климатической техники (кондиционеров). - консультация покупателя по правильному использованию техники.,between1And3,От 1 года до 3 лет,732829,Домотехника,,,,
81263109,Представитель Тинькофф,https://hh.ru/applicant/vacancy_response?vacancyId=81263109,full,Полная занятость,45000,,Умение найти индивидуальный подход к клиенту и рассказать об актуальном для него продукте. Понимание техники продаж и готовность развивать этот...,"Встречаться с клиентами лично: доставлять им карты банка и пакеты с документами. Рассказывать о выгоде и преимуществах выбранного продукта, предлагать...",noExperience,Нет опыта,78638,Тинькофф,,,,
82172725,Удаленный Редактор текста,https://hh.ru/applicant/vacancy_response?vacancyId=82172725,full,Полная занятость,,75000,ПК или Ноутбук с Интернетом; ОПЫТ РАБОТЫ НЕ ТРЕБУЕТСЯ! Усидчивость и настрой на монотонную работу.,"Записывать или редактировать данные из электронных писем (без звонков). Копирайтинг, ввод данных и никакого общения с клиентами.",noExperience,Нет опыта,9395611,LiteJob,,,,
82168844,Инспектор по кадрам,https://hh.ru/applicant/vacancy_response?vacancyId=82168844,full,Полная занятость,50000,50000,"Опыт работы инспектора по кадрам ОБЯЗАТЕЛЕН. Знание ТК РФ; знание ПК (MS Office, Excel, 1С 8.3 УПП).","Оформление приёмов, увольнений, отпусков, переводов сотрудников. Внесение изменений в штатное расписание. Своевременная подача отчетности в контролирующие органы (СФР). ",between3And6,От 3 до 6 лет,4419948,Крона,44.606176,132.830917,,
82168656,Машинист экскаватора,https://hh.ru/applicant/vacancy_response?vacancyId=82168656,full,Полная занятость,45000,,"Среднее профессиональное образование или начальное профессиональное образование. - Соответствующую подготовку по специальности ""Машинист экскаватора"". Должен знать: Устройство, принцип работы и технические...","Управление экскаватором при производстве вскрышных, добычных, переэкскавационных, зачистных, отвальных и погрузочно-разгрузочных работ. - Разработку горной массы и грунта. ",between3And6,От 3 до 6 лет,4419948,Крона,44.606176,132.830917,,
82168550,Водитель-машинист крана манипулятора (фискарист),https://hh.ru/applicant/vacancy_response?vacancyId=82168550,full,Полная занятость,75000,,"Ответственность, техническая грамотность, исполнительность, коммуникабельность. Знание технических характеристик и устройство автомобиля IVECO, Камаз. Удостоверение на право управления краном-манипулятором.","Управление и техническое обслуживание вверенным ТС (IVECO, Камаз) с краново-манипуляторной установкой для перевозки лесоматериалов, Контроль за техническим состоянием ТС.",between3And6,От 3 до 6 лет,4419948,Крона,44.606176,132.830917,,
81945436,Удаленный специалист службы поддержки,https://hh.ru/applicant/vacancy_response?vacancyId=81945436,full,Полная занятость,26000,40000,Умеет принимать самостоятельные решения.,"Работа с клиентами и партнерами для решения разнообразных ситуаций. Работа с входящими письменными обращениями во внутренней CRM-системе, редкие исходящие...",noExperience,Нет опыта,1740,Яндекс,,,,
