id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80789921,Старший менеджер по обслуживанию,https://hh.ru/applicant/vacancy_response?vacancyId=80789921,full,Полная занятость,50400,,"Специалист со средним профессиональным, неполным высшим или высшим образованием. Будет плюсом, если у тебя есть опыт работы в сфере продаж...","Доброжелателен и готов помогать клиентам. Готов к работе, предполагающей ежедневное проведение однотипных операций. Осуществлять операции по обслуживанию клиентов. ",noExperience,Нет опыта,3529,СБЕР,,,,
81838861,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838861,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
80932211,Менеджер по продажам,https://hh.ru/applicant/vacancy_response?vacancyId=80932211,full,Полная занятость,70000,120000,Опыт работы в продажах. Активная жизненная позиция. Нацеленность на результат и его достижения. Коммуникабельность.,"Планирование полевых и офисных активностей, согласование с руководителем. Самостоятельный поиск и заключение договоров с потенциальными клиентами, полное сопровождение, до прохождения...",between1And3,От 1 года до 3 лет,8964481,Медсправка (ООО УК Востокмедгрупп),43.094051,131.902813,,
78273205,Работник ночной смены предприятия «Вкусно - и точка»,https://hh.ru/applicant/vacancy_response?vacancyId=78273205,full,Полная занятость,,,Опыт не требуется.,"Готовить предприятие к ежедневному открытию для визитов наших гостей, поддерживая чистоту и порядок в помещениях. Проводить профилактику кухонного оборудования и...",noExperience,Нет опыта,2624085,Вкусно — и точка,,,,
76462866,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462866,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
81716766,Работник предприятия «Вкусно – и точка»,https://hh.ru/applicant/vacancy_response?vacancyId=81716766,full,Полная занятость,,,Более 30 лет опыта работы по международным стандартам качества в индустрии гостеприимства на рынке России.,принимать гостей и дарить им то самое отличное обслуживание. - поддерживать помещения в чистом и красивом виде.,noExperience,Нет опыта,2624085,Вкусно — и точка,,,,
82211599,Механик,https://hh.ru/applicant/vacancy_response?vacancyId=82211599,full,Полная занятость,150000,150000,"Опыт с тяжелой техникой обязателен от 1 года (экскаваторы, бульдозеры, всего 4 техники в обслуживании).",Ремонт и обслуживание техники.,between1And3,От 1 года до 3 лет,9622609,Стис,,,,
82210786,Ведущий технолог,https://hh.ru/applicant/vacancy_response?vacancyId=82210786,full,Полная занятость,,,Образование высшее. Опыт работы на производстве. Знание ПК на уровне уверенного пользователя.,"Разработка нормативной документации, регламентов и инструкций. - Разработка технологической документации на выпуск продукции. - Разработка плана обучения и стажировки новых сотрудников отдела. - ",between1And3,От 1 года до 3 лет,23186,Группа Компаний РУСАГРО,43.925739,132.003972,,
82210548,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=82210548,full,Полная занятость,37000,42000,Среднее-специальное образование. Готовность обучаться. Грамотная речь. Активность. Доброжелательность. Умение работать в команде. Ответственность. Порядочность. Аккуратность.,"Обслуживание покупателей на кассе. Обслуживание животных, продаваемых в магазине. Работа с товаром(выкладка, ротация). Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,9983086,Владзооторг,43.802888,131.943471,,
81209570,Инспектор службы безопасности,https://hh.ru/applicant/vacancy_response?vacancyId=81209570,full,Полная занятость,70000,113000,"Опыт работы в правоохранительных органах или других силовых структурах. Знание ПК на уровне уверенного пользователя. Уверенность, честность, ответственность. ",Взаимодействие с правоохранительными органами. Контрольно - ревизионная деятельность на магазинах. Подбор и проверка кандидатов.,between3And6,От 3 до 6 лет,1035394,"Красное & Белое, розничная сеть",,,,
82210044,"Водитель категории С, Е",https://hh.ru/applicant/vacancy_response?vacancyId=82210044,full,Полная занятость,,80000,Водительские права кат Е. Опыт работы на прицепном автотранспорте.,"Управление прицепным автотранспортом. Перевозка кормов, с/х животных согласно маршрутам. Содержание вверенного автотранспорта в надлежащем техническом и санитарном состоянии.",between1And3,От 1 года до 3 лет,23186,Группа Компаний РУСАГРО,,,,
82210013,Тракторист-машинист,https://hh.ru/applicant/vacancy_response?vacancyId=82210013,full,Полная занятость,,54500,Водительское удостоверение тракториста-машиниста BCD.,"Перевозка зерна, вывоз падежа. Внесение/откачка жидких органических удобрений. Уборка снега в зимний период. - Реализованы все рекомендации Роспотребнадзора по безопасности...",between1And3,От 1 года до 3 лет,23186,Группа Компаний РУСАГРО,43.925739,132.003972,,
82209651,Директор филиала (крупнейший дистрибьютор кондитерских изделий),https://hh.ru/applicant/vacancy_response?vacancyId=82209651,full,Полная занятость,130000,,"имеете высшее образование, опыт в аналогичной должности в компании с развитой филиальной структурой от 2 лет. - имеете навыки стратегического планирования...","1. Эффективная организация работы отделов продаж, складской логистики и бухгалтерии в своем филиале: - обеспечение выполнения планов продаж по основным показателям...",between1And3,От 1 года до 3 лет,2718776,Приморский Торговый Центр,,,,
81624790,Обвязчик,https://hh.ru/applicant/vacancy_response?vacancyId=81624790,full,Полная занятость,40000,,,Установка поддонов. Выборка продукции. Обвязка и маркировка продукции.,noExperience,Нет опыта,222578,Тереховский ЗБИ,,,,
