id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81838860,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81838860,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
81747287,Оператор call-центра (удаленно),https://hh.ru/applicant/vacancy_response?vacancyId=81747287,part,Частичная занятость,24000,29000,"ПК или ноутбук. Стабильный проводной или WI-FI интернет, скорость интернета от 20 мбит/сек. Гарнитура с микрофоном. ","Прием и обработка входящих звонков пользователей сервиса Яндекс. Такси. Оформление поездок в программе, консультирование клиентов по вопросам сервиса.",noExperience,Нет опыта,1740,Яндекс,,,,
76462865,Машинист каротажной станции,https://hh.ru/applicant/vacancy_response?vacancyId=76462865,full,Полная занятость,,,"Удостоверение Машиниста каротажной станции. Наличие водительского удостоверения категории В, С. Стаж вождения по категории ""С"" от 3 лет! ","Управление каротажной станцией, подъемными механизмами (лебедка) при проведении геофизических исследований в скважинах глубиной до 6000 метров. Спуск аппаратуры (приборов) в...",between3And6,От 3 до 6 лет,39305,Газпром нефть,,,,
82209908,Мастер цеха по производству гофротары,https://hh.ru/applicant/vacancy_response?vacancyId=82209908,full,Полная занятость,,,Опыт работы на производстве. Навыки управления человеческими ресурсами. Знание 1С. Уверенный пользователь ПК.,Обеспечивать выполнение в установленные сроки производственных заданий. Контролировать соблюдение технологических процессов. Участвовать в освоении новых и совершенствовании действующих технологических процессов...,between1And3,От 1 года до 3 лет,697283,Группа Компаний «Доброфлот»,,,,
81681631,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=81681631,full,Полная занятость,35000,,"Желание развиваться в сфере продаж. Активность, коммуникабельность. Наш адрес: ул. Клубная 15А.","Консультация клиентов, приходящих в салон. Продажа мелкой цифровой техники и аксессуаров. Оформление кредитов и рассрочек. Следить за чистотой на рабочем...",noExperience,Нет опыта,3653247,Мобильный Ритейл,42.974076,132.408744,,
80034311,"Администратор магазинов (г. Фокино, г. Находка)",https://hh.ru/applicant/vacancy_response?vacancyId=80034311,full,Полная занятость,55000,,Опыт работы на аналогичной должности от 1 года. Знание кассовой дисциплины. Организаторские способности. Высокая степень ответственности. Готовность работать с покупателями...,"Работа на три магазина: г. Фокино, Белашева 20а; г. Фокино, Клубная 23 (Фреш 25); г. Находка, Северный пр-кт...",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,42.969604,132.403615,,
82181440,Оператор по продаже банковских продуктов (удалённо),https://hh.ru/applicant/vacancy_response?vacancyId=82181440,full,Полная занятость,30000,,Понимание принципов качественного клиентского сервиса. Умение общаться грамотно и вежливо.,"Совершать исходящие звонки по холодным и теплым базам с целью продажи продуктов и услуг компании. База для обзвона предоставляется, поиск...",noExperience,Нет опыта,78638,Тинькофф,,,,
79128825,Мастер по обслуживанию абонентов,https://hh.ru/applicant/vacancy_response?vacancyId=79128825,full,Полная занятость,65000,65000,Желательны навыки общения с клиентами. Разъездной характер работы. Готовы рассмотреть начинающих специалистов без опыта работы и профильного образования.,"Техническая поддержка действующих абонентов (устранение повреждений, настройка, замена оконечного оборудования). Подключение услуг компании (интернет, интерактивное телевидение, домашний телефон, видеонаблюдение). ",noExperience,Нет опыта,2748,Ростелеком,,,,
82158322,Водитель автосамосвала,https://hh.ru/applicant/vacancy_response?vacancyId=82158322,full,Полная занятость,130000,180000,Желание работать.,"Обслуживание ТС (ЕТО, ТО, мелкий ремонт). Заполнение сопроводительной документации (путевой лист, отчет о работе, ведомость ГСМ, бортовой журнал). ",between1And3,От 1 года до 3 лет,6051445,Альфа-Кар ТРАК,,,,
76472149,Специалист по продажам в салон связи МТС,https://hh.ru/applicant/vacancy_response?vacancyId=76472149,full,Полная занятость,30000,,Рассмотрим без опыта работы!,"Консультирование клиентов. - Продажа телефонов, планшетов, аксессуаров. - Абонентское обслуживание (смена тарифа, подключение доп.услуг, пополнение баланса итд). - Оформление кредитов, страховок. - Кассовая дисциплина. - ",noExperience,Нет опыта,3653247,Мобильный Ритейл,42.974076,132.408744,,
79631046,Специалист по продажам,https://hh.ru/applicant/vacancy_response?vacancyId=79631046,full,Полная занятость,30000,,"У тебя грамотная речь и позитивное отношение к людям. - Тебе нравятся гаджеты, продажи и общение. ОПЫТ НЕ ТРЕБУЕТСЯ.",Выполнение плановых показателей (в том числе личные продажи). - Поддержание чистоты и порядка на торговой точке. - Помогать клиентам в выборе лучших...,noExperience,Нет опыта,3653247,Мобильный Ритейл,42.974076,132.408744,,
81992477,Кассир - мерчендайзер,https://hh.ru/applicant/vacancy_response?vacancyId=81992477,full,Полная занятость,37500,50000,,Рассчитывать покупателей на кассе. Вести отчетность. Оформлять кредиты. Выкладывать товары и контролировать ценники. Выдавать заказы. Участвовать в инвентаризации и переоценке.,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,42.970481,132.408439,,
81641794,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641794,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
82102313,Электромонтер по обслуживанию электрооборудования 3 – 5 разряда,https://hh.ru/applicant/vacancy_response?vacancyId=82102313,full,Полная занятость,80000,,"Требования: Начальное профессиональное образование, наличие квалификационного удостоверения: «Электромонтер по ремонту и обслуживанию электрооборудования». Опыт работы по специальности от 1 года.Группа...","Обязанности:Разборка, капитальный ремонт электрооборудования любого назначения, всех типов и габаритов под руководством электромонтера более высокой квалификации. Регулирование и проверка...",between3And6,От 3 до 6 лет,4825379,Комсомольскэнергомонтаж,,,,
80873975,Мастер по сварке,https://hh.ru/applicant/vacancy_response?vacancyId=80873975,full,Полная занятость,100000,,"Высшее образование по специальности: ""сварочное производство"".","Приемка работ по реконструкции, переоснащению и оптимизации сварочного производства на участке, организация исправления выявленных дефектов, составление графиков выполнения работ участка...",between3And6,От 3 до 6 лет,4825379,Комсомольскэнергомонтаж,,,,
80930942,"Сварщик РД, РАД и МП 5 – 6 разряда",https://hh.ru/applicant/vacancy_response?vacancyId=80930942,full,Полная занятость,120000,,"Ответственное отношение к работе и инструменту. Документы о допуске к выполнению сварочных работ (сертификаты, удостоверения, свидетельства). НАКС желателен КО, ГО...",Ручная дуговая сварка деталей трубопроводов под ультразвуковой (рентгенографический) контроль. Ручная аргонодуговая сварка деталей трубопроводов под ультразвуковой (рентгенографический) контроль. ,between3And6,От 3 до 6 лет,4825379,Комсомольскэнергомонтаж,,,,
82086815,Руководитель СТО,https://hh.ru/applicant/vacancy_response?vacancyId=82086815,full,Полная занятость,,,имеешь опыт работы в автосервисной отрасли.,"масштабные рекламные кампании для привлечения клиентов. - обучение процессам, техническим нюансам, работе с персоналом. - консультация в технических вопросах от отдела техподдержки. - ",between1And3,От 1 года до 3 лет,1479944,FIT SERVICE,42.978133,132.401495,,
78863878,Продавец-консультант в салон часов ТЦ МЕРИДИАН,https://hh.ru/applicant/vacancy_response?vacancyId=78863878,full,Полная занятость,35400,54000,"Обязательно наличие опыта продаж непродовольственных товаров или услуг от 2-х лет. Чистая, грамотная речь. Способность осваивать большой объём информации...","Работа с клиентами в салоне. Работа с торговым оборудованием (кассовый аппарат, терминал и т.д.). Поддержание порядка и чистоты в...",between1And3,От 1 года до 3 лет,8942163,Золотое Время Дальний Восток,,,,
81937148,Специалист по выдаче займов,https://hh.ru/applicant/vacancy_response?vacancyId=81937148,full,Полная занятость,25000,35000,"Образование не ниже среднего. Опыт работы в продаже финансовых продуктов приветствуется, но не обязателен, так как у нас разработана система...",Качественная обработка входящего потока клиентов и работа с постоянными клиентами Компании. Быстрое и внимательное оформление займа. Выполнение плана продаж финансовых...,noExperience,Нет опыта,1432137,РосДеньги,42.975574,132.409885,,
79964925,"Продавец-кассир (Белашево 20 а, Клубная 22)",https://hh.ru/applicant/vacancy_response?vacancyId=79964925,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми, стрессоустойчивость. Энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,42.969604,132.403615,,
