id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81112356,Менеджер по развитию розничной сети,https://hh.ru/applicant/vacancy_response?vacancyId=81112356,full,Полная занятость,,,"Опыт поиска и открытия торговых точек от 1 года. Уверенные навыки ведения переговоров, заключения договоров на объект недвижимости. ",Искать объекты недвижимости. Анализировать рынок недвижимости. Заключать договора аренды. Вести переговоры с собственниками помещений. Оценивать помещения на предмет открытия аптек.,between3And6,От 3 до 6 лет,45333,Ригла,,,,
82216169,Оператор на входящие звонки (не продажи),https://hh.ru/applicant/vacancy_response?vacancyId=82216169,full,Полная занятость,36300,63360,Можешь похвастаться грамотной речью. Отличаешься внимательностью. Любишь помогать людям. Жаждешь учиться и развиваться.,"Принимать входящие звонки от пользователей сайтов FarPost.ru, VL.ru, Drom.ru. Помогать пользователям решать самые разные задачи и находить выход из нестандартных...",noExperience,Нет опыта,823819,VL.RU,,,,
76788665,Web-программист / web-разработчик,https://hh.ru/applicant/vacancy_response?vacancyId=76788665,full,Полная занятость,190000,210000,"Образование: высшее, желательно техническое (информационные технологии, защита информации и т.д.). Понимание работы микросервисной архитектуры и шин данных. ",Написание кода по ТЗ. Написание запросов sql. Рефакторинг легаси кода.,between3And6,От 3 до 6 лет,872053,MX group,43.145025,131.919513,,
80484604,Оператор call-центра на входящие звонки (гибкий график),https://hh.ru/applicant/vacancy_response?vacancyId=80484604,full,Полная занятость,,,"Грамотная устная и письменная речь, навыки делового общения. Умение работать в режиме многозадачности, желание обучаться. Опыт работы в call-центре. ","Работа с входящими звонками с целью удержания и сохранения лояльности клиента (без поиска клиентов, работа с действующими клиентами). ",between1And3,От 1 года до 3 лет,2748,Ростелеком,,,,
82216049,Бухгалтер по учёту ТМЦ и ОС,https://hh.ru/applicant/vacancy_response?vacancyId=82216049,full,Полная занятость,,,Высшее/средне-специальное экономическое образование. Аналогичный опыт работы от 1 года. Опыт работы на производственных предприятиях приветствуется. Хорошее знание ПК...,"Организация и ведение оперативного, бухгалтерского и управленческого учета ТМЦ и ОС. Формирование внутренней управленческой отчетности. Работа с авансовыми отчётами. ",between1And3,От 1 года до 3 лет,697283,Группа Компаний «Доброфлот»,43.361358,132.144424,,
82179009,Менеджер по сопровождению договоров (без продаж и привлечения клиентов),https://hh.ru/applicant/vacancy_response?vacancyId=82179009,full,Полная занятость,45000,50000,"Опыт работы с клиентами - будет ваши преимуществом. Уверенный пользователь ПК. Вежливость, внимательность, ответственность. Грамотная устная и письменная речь.",Сопровождение действующих договоров страхования. Работа на входящем потоке клиентов для внесения изменений в действующие договоры страхования. Работа с клиентами по...,noExperience,Нет опыта,955,СОГАЗ,43.132236,131.907224,,
82215501,Водитель автопогрузчика,https://hh.ru/applicant/vacancy_response?vacancyId=82215501,full,Полная занятость,53000,,"Опыт работы водителем погрузчика. Транспортировка бутылки и умение управлять штабелером будут вашими преимуществами. Профессиональная подготовка и документы, дающие право на...","Прием готовой продукции из цеха розлива (по качеству, ассортименту и датам). Погрузо-разгрузочные работы (погрузка на транспортное средство, установка продукции...",between1And3,От 1 года до 3 лет,15959,AB InBev Efes,43.285601,132.066953,,
79637613,Менеджер продаж финансовых продуктов,https://hh.ru/applicant/vacancy_response?vacancyId=79637613,full,Полная занятость,80000,,,Консультировать и продавать клиентам продукты банка на территории магазина-партнера ДНС. Подбирать для клиента подходящий продукт.,noExperience,Нет опыта,1496,Банк Хоум Кредит,,,,
81840727,Пишущий редактор в Яндекс,https://hh.ru/applicant/vacancy_response?vacancyId=81840727,full,Полная занятость,75000,,"Быстро разбираться в сложных незнакомых темах: от алгебры до поэзии. Не боитесь рутины, готовы часами докапываться до истины, разбираться в...","Проверять факты и отличать надёжные источники от сомнительных. Писать и редактировать тексты, которые решают задачи людей. Соблюдать гайды, регламенты, редполитики...",between3And6,От 3 до 6 лет,9498112,Яндекс Крауд,,,,
82215364,Ведущий бухгалтер (первичная документация),https://hh.ru/applicant/vacancy_response?vacancyId=82215364,full,Полная занятость,90000,,"Опыт работы бухгалтером от года (желательно в логистике). Высокая скорость работы, опыт работы с большим документооборотом. Навыки работы с Excel...",Поступления товаров и услуг на основании счетов. Разнесение счетов на оплату от поставщиков. Оперативная сверка с дебиторской задолженностью по запросу. ,between3And6,От 3 до 6 лет,2833321,ТФЛ,43.097475,131.864922,,
