id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
70128783,Продавец-консультант в салон сотовой связи,https://hh.ru/applicant/vacancy_response?vacancyId=70128783,full,Полная занятость,30000,,"Если у тебя нет опыта, то мы всему научим!"".","Консультировать клиентов в салоне. Продавать мелкую цифровую технику, аксессуары. Оформлять кредиты и рассрочки. Следить за чистотой рабочего места.",noExperience,Нет опыта,3653247,Мобильный Ритейл,44.267653,135.057292,,
81641796,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641796,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
82099097,Электромонтер по эксплуатации распределительных сетей,https://hh.ru/applicant/vacancy_response?vacancyId=82099097,full,Полная занятость,41000,45000,"Программы профессиональной подготовки по профессиям рабочих, программы переподготовки рабочих, программы повышения квалификации рабочих в области эксплуатации распределительных сетей, опыт работы...","Техническоеобслуживание оборудования распределительных пунктов (РП), трансформаторных подстанций (ТП), воздушных и кабельных линий электропередачи распределительных сетей. Рабочее место располагается в п. ",noExperience,Нет опыта,1126280,ДРСК Приморские электрические сети,,,,
80766573,"Токарь/Фрезеровщик - Ученик (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766573,probation,Стажировка,35000,,,,noExperience,Нет опыта,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
80766741,"Слесарь механосборочных работ 3-6 разряда (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766741,full,Полная занятость,60000,,Опыт работы слесарем механосборочных работ по имеющемуся разряду.,"Сборка и регулировка деталей и узлов. Сверление деталей по разметке и кондуктору на сверлильном станке, нарезание резьбы метчиками или плашкой...",between1And3,От 1 года до 3 лет,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
80766441,"Токарь 5-6 разряда (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766441,full,Полная занятость,100000,,Знание конструктивных особенностей и правила проверки на точность токарных станков различной конструкции универсальных и специальных приспособлений. Умение работать на токарных...,,between1And3,От 1 года до 3 лет,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
80766653,"Фрезеровщик 3-6 разряд (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766653,full,Полная занятость,90000,,Фрезеровщик 3-4 разряд возможно отсутствие опыта работы.,,between1And3,От 1 года до 3 лет,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
80766039,Слесарь-ученик по изготовлению и доводке деталей летательных аппаратов (город Арсеньев),https://hh.ru/applicant/vacancy_response?vacancyId=80766039,probation,Стажировка,35000,,,Ученик Слесаря по изготовлению и доводке деталей летательных аппаратов.,noExperience,Нет опыта,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
80766163,"Сборщик-клепальщик/Ученик (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766163,full,Полная занятость,35000,,,,noExperience,Нет опыта,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
78179292,Проходчик/Горнорабочий очистного забоя,https://hh.ru/applicant/vacancy_response?vacancyId=78179292,full,Полная занятость,180000,250000,Опыт работы в данной должности не менее 2-х лет. - ОБЯЗАТЕЛЕН опыт работы на руде. - Наличие удостоверение проходчик/ГРОЗ. - ,Бурение шпуров ручными и телескопическими перфораторами отечественного и зарубежного производства. - Работа на скреперной лебедке. - Крепление горных выработок. - Работа в очистных...,between1And3,От 1 года до 3 лет,1690451,УК Золотые проекты,,,,
