id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
82213934,Мастер по ремонту оборудования котельных и пылеприготовительных цехов,https://hh.ru/applicant/vacancy_response?vacancyId=82213934,full,Полная занятость,100000,150000,"Высшее техническое образование и стаж работы, связанной с производством работ на электростанциях не менее 1 года. Среднетехническое образование и стаж...",Осуществление технического руководства бригадой при проведении ремонта оборудования. Осуществление контроля за соблюдением технологии ремонта оборудования. Обеспечивать при проведении ремонтных работ...,between1And3,От 1 года до 3 лет,876195,Сибирская генерирующая Компания,,,,
81578873,Специалист по обслуживанию базовых станций,https://hh.ru/applicant/vacancy_response?vacancyId=81578873,full,Полная занятость,50000,,Знание основ электробезопасности; группа по электробезопасности не ниже 3. Готовность к разъездному характеру работы.,Аварийно-восстановительные и плановые работы на базовых станций сотовой связи. Обеспечение аварийного электроснабжения базовых станций операторов от переносного генератора. ,between1And3,От 1 года до 3 лет,2748,Ростелеком,46.441449,134.29897,,
78862842,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=78862842,full,Полная занятость,23000,38500,,Работа с клиентами. Консультирование клиентов по продукции магазина. Выкладка товаров по стандартам сети. Участие в инвентаризации. Кассовые операции.,noExperience,Нет опыта,4175135,Бонжур,,,,
80139173,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=80139173,full,Полная занятость,40000,,Желателен опыт в проектировании и продажах.,"Консультирование покупателей с целью продажи кухонь. Проектирование, подбор мебели для кухни, расчет стоимости по заказам покупателей. Оформление и сопровождение продажи. ",between1And3,От 1 года до 3 лет,936984,Деловые люди,46.443665,134.312813,,
76196909,Администратор магазина,https://hh.ru/applicant/vacancy_response?vacancyId=76196909,full,Полная занятость,45000,56000,"уверенный пользователь ПК. - опыт личных продаж от одного года. - лидерский потенциал, инициативность, обучаемость.","руководство деятельностью торгового зала магазина. - организация, контроль работы продавцов и кассиров в торговом зале. - наставничество, обучение торгового персонала. - ",between1And3,От 1 года до 3 лет,732829,Домотехника,46.444026,134.297785,,
76196837,Продавец,https://hh.ru/applicant/vacancy_response?vacancyId=76196837,full,Полная занятость,35000,55000,коммуникабельность. -обучаемость. -активность. -опыт кассовой работы не менее года будет вашим преимуществом.,"обслуживание покупателей. - документальное оформление покупки. - оформление витрин, стеллажей, поддержание чистоты и порядка на рабочем месте.",noExperience,Нет опыта,732829,Домотехника,46.444026,134.297785,,
82169149,Водитель самосвала,https://hh.ru/applicant/vacancy_response?vacancyId=82169149,full,Полная занятость,120000,,Водительское удостоверение категории С.,"Управление грузовым автомобилем FAW, HOWO. Содержание автомобиля в исправном состоянии, ремонт и техническое обслуживание. Оформление путевой и иной технической документации.",between1And3,От 1 года до 3 лет,5770805,Империя Строй,,,,
82166543,Оператор по назначению встреч (удалённо),https://hh.ru/applicant/vacancy_response?vacancyId=82166543,full,Полная занятость,35000,,Полное среднее образование и выше. Внимательность к деталям. Уверенность в себе и умение расположить клиента. Четкая и грамотная речь.,"Консультировать действующих и потенциальных клиентов по теплой базе на исходящих звонках. Назначать удобную дату, время и место встречи с представителем. ",noExperience,Нет опыта,78638,Тинькофф,,,,
81641797,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641797,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
79424284,Менеджер по сервисному обслуживанию клиентов,https://hh.ru/applicant/vacancy_response?vacancyId=79424284,part,Частичная занятость,,,Опыт работы с клиентами и в продажах приветствуется. Общительность и способность найти подход к каждому человеку. Опытный пользователь ПК. ,"Делать мелкий сервисный ремонт слуховых аппаратов: замена трубочки, чистка аппарата и т.д. Проводить экспресс-проверки слуха на планшете или...",between1And3,От 1 года до 3 лет,1626978,Клиника слуха Аудионика,,,,
82085691,Водитель автомобиля на вывозке леса,https://hh.ru/applicant/vacancy_response?vacancyId=82085691,full,Полная занятость,80000,,"6. Знание внутреннего устройства импортных грузовых автомобилей. Требования: 1. Опыт работы от 3 лет на лесовозах зарубежных производителей (SHACMAN, MERCEDES). ","2. Контроль выполнения погрузочно-разгрузочных работ, соблюдение техники безопасности при погрузо-разгрузочных работах. 3. Материальная ответственность за груз. 4. ",between3And6,От 3 до 6 лет,606667,RFP Group,,,,
79134425,Директор магазина,https://hh.ru/applicant/vacancy_response?vacancyId=79134425,full,Полная занятость,50000,60000,"Активные лидеры, которые смогут справиться с большим трафиком покупателей. Ответственные, целеустремленные люди, преданные своей профессии. Аналогичный опыт в ритейле. ","Активные продажи. Эффективное управление внутренними процессами магазина (графики работы сотрудников, инвентаризация, отчетность и т.д.). Обучение новых сотрудников. ",between1And3,От 1 года до 3 лет,2779310,Алкомаркет Столица,46.443355,134.302627,,
81336585,Менеджер продаж финансовых продуктов,https://hh.ru/applicant/vacancy_response?vacancyId=81336585,full,Полная занятость,,,,"Консультировать и помогать нашим постоянным клиентам (только физические лица). Продавать продукты и услуги банка, которые сделают клиента счастливее: Продаешь Банковские...",noExperience,Нет опыта,1496,Банк Хоум Кредит,,,,
81992171,Автослесарь по ремонту грузовых автосамосвалов и специальной техники импортного производства,https://hh.ru/applicant/vacancy_response?vacancyId=81992171,full,Полная занятость,100000,140000,Опыт работы от 1 год. Знание технического устройства автомобилей и тяжелой техники. Желание работать.,"Ремонт автосамосвалов марки Мерседес, Вольво, Шахман. Ремонт спецтехники (экскаватор, бульдозер, каток, автогрейдер).",between1And3,От 1 года до 3 лет,6051445,Альфа-Кар ТРАК,,,,
