id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
78709206,Товаровед,https://hh.ru/applicant/vacancy_response?vacancyId=78709206,full,Полная занятость,70000,70000,Образование высшее. Опыт работы не менее 3 лет на позиции товаровед. Знание программы 1С. Знание программы СУПЕРМАГ будет преимуществом. ,"Управление товарным запасом магазина, своевременное составление заявок поставщикам. Обеспечение оптимального товарного запаса, контроль остатков. Контроль поступления, реализации, выкладки товара. ",between3And6,От 3 до 6 лет,6149002,Будаев Константин Аланович,,,,
79234047,Инженер по эксплуатации зданий,https://hh.ru/applicant/vacancy_response?vacancyId=79234047,full,Полная занятость,50000,50000,"Техническое образование. Опыт работы в сфере эксплуатации объектов недвижимости (от 3-х лет). Знание работы с надзорными органами, подрядными компаниями. ","Поддержание всех систем жизнеобеспечения здания (Торговый центр) в рабочем состоянии (тепло-водоснабжение, водоотведение, электроснабжение. Системы вентиляции и кондиционирования). ",between3And6,От 3 до 6 лет,6149002,Будаев Константин Аланович,43.299178,132.062812,,
82207972,"Директор магазина (Артем, 1-я Рабочая, 30)",https://hh.ru/applicant/vacancy_response?vacancyId=82207972,full,Полная занятость,64000,102400,"Образование не ниже среднего профессионального. Управленческий опыт от 0,5 года. Опыт в ритейле от 0,5 года. Пользователь ПК.","Организация работы магазина. Контроль работы сотрудников. Выполнение плана по товарообороту, минимизация потерь. Взаимодействие с проверяющими органами. Отчетность и анализ показателей...",between1And3,От 1 года до 3 лет,1942330,Пятёрочка,43.330158,132.089771,,
82207405,"Продавец (Артем, 1-я Рабочая, 30)",https://hh.ru/applicant/vacancy_response?vacancyId=82207405,full,Полная занятость,42193,48733,"Желание работать с покупателями, остальному научим!",Работа за кассой и в торговом зале. Консультация покупателей. Выкладка и отслеживание сроков годности товаров.,noExperience,Нет опыта,1942330,Пятёрочка,43.330158,132.089771,,
80012816,Кредитный консультант,https://hh.ru/applicant/vacancy_response?vacancyId=80012816,full,Полная занятость,50000,,"Знание стандартных ПО (MS Office). Знание офисной техники (ноутбук, принтер). Умение вести диалог грамотно и доброжелательно, умение убеждать. ","Замечать и привлекать потенциальных клиентов, предлагать им банковские услуги (кредит на покупку и рассрочку). Консультировать клиентов по их вопросам. ",noExperience,Нет опыта,78638,Тинькофф,43.35641,132.073673,,
82150254,Водитель погрузчика/ричтрака,https://hh.ru/applicant/vacancy_response?vacancyId=82150254,full,Полная занятость,60000,66000,,перемещение поддонов с товаром. - размещение на хранение на стеллажное оборудование. - участие в погрузочно-разгрузочных работах с помощью погрузчика. - ,between1And3,От 1 года до 3 лет,2089580,ГудФуд,43.281966,132.061752,,
82150173,Кладовщик-комплектовщик,https://hh.ru/applicant/vacancy_response?vacancyId=82150173,full,Полная занятость,55000,55000,,Приём и выдача товара. -Размещение товаров на складе. -Работа с документацией по складу. -Участие в ревизиях. - Комната приема пищи с...,between1And3,От 1 года до 3 лет,2089580,ГудФуд,43.281966,132.061752,,
80690110,Слесарь по ремонту и обслуживанию автотранспорта и спецтехники,https://hh.ru/applicant/vacancy_response?vacancyId=80690110,full,Полная занятость,70000,70000,Профильное техническое средне-специальное образование. Опыт работы в аналогичной должности от 1 года. Водительское удостоверение категории В и С (выделяется...,"Проведение диагностики и ремонта грузового автотранспорта (ломовозы, ""воровайки""), оборудования и спецтехники (погрузчики, экскаваторы-перегружатели). Контроль за наличием необходимого инструмента для...",between1And3,От 1 года до 3 лет,2658429,СГМК,,,,
80690915,Газорезчик,https://hh.ru/applicant/vacancy_response?vacancyId=80690915,full,Полная занятость,65000,,Удостоверение газорезчика (электрогазосварщика). Опыт работы от 1 года в аналогичной должности.,"Разка, подрезка металлолома в необходимый габарит (кислородно-пропановая резка металла). Соблюдение требований ОТ при работе.",between1And3,От 1 года до 3 лет,2658429,СГМК,43.312725,132.080437,,
80691059,Подсобный рабочий,https://hh.ru/applicant/vacancy_response?vacancyId=80691059,full,Полная занятость,65000,,Желателен опыт работы в аналогичной должности от 1 года.,"Погрузка, выгрузка, сортировка металлолома. Выполнение иных поручений начальника участка.",noExperience,Нет опыта,2658429,СГМК,43.312725,132.080437,,
47921460,Кладовщик-наборщик,https://hh.ru/applicant/vacancy_response?vacancyId=47921460,full,Полная занятость,60000,,"Опыт работы комплектовщиком, кладовщиком. Аккуратность, внимательность.",Комплектация продукции по заказам. Участие в инвентаризации ТМЦ на складе.,between1And3,От 1 года до 3 лет,5450807,Хладокомбинат Заречный,43.300392,132.063243,,
78243938,Механик,https://hh.ru/applicant/vacancy_response?vacancyId=78243938,full,Полная занятость,80000,,"Образование: высшее, либо среднее профессиональное техническое. Опыт работы автомехаником. Знание устройств грузовых авто.",Контроль технического состояния автопарка. Проведение инструктажей. Оформление путевых листов. Проверка транспорта перед выпуском на линию. Взаимодействие с сервисными центрами по...,between1And3,От 1 года до 3 лет,5450807,Хладокомбинат Заречный,43.300392,132.063243,,
81400139,Кладовщик магазина (пос. Трудовое),https://hh.ru/applicant/vacancy_response?vacancyId=81400139,full,Полная занятость,41000,50000,Работать в 1С.,Принимать и размещать товары на складе. Участвовать в погрузке и разгрузке товаров. Участвовать в инвентаризации и поддерживать порядок на складе. ,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.299178,132.062812,,
81079310,Сотрудник выдачи,https://hh.ru/applicant/vacancy_response?vacancyId=81079310,full,Полная занятость,37500,50000,,"Подбирать и выдавать товар, в том числе крупно бытовую технику. Оказывать дополнительные сервисные услуги. Выкладывать товар на витрины. Проводить переоценку. ",noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.299178,132.062812,,
79899551,Продавец-консультант (пос.Трудовое),https://hh.ru/applicant/vacancy_response?vacancyId=79899551,full,Полная занятость,40000,100000,,Консультировать покупателей и оформлять продажи. Проверять и выдавать товар клиентам. Заполнять сопутствующие документы. Контролировать качественное и количественное наполнение витрин в...,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.299178,132.062812,,
80919852,Инженер - электроник (инженер КИПиА),https://hh.ru/applicant/vacancy_response?vacancyId=80919852,full,Полная занятость,80000,100000,"Опыт в аналогичной должности. Внимательность. Исполнительность. Ответственность. Высшее техническое образование. Приветствуется доп. образование: курсы Simatek, Siemens и т.д. ",Ремонт и обслуживание электрической и электронной части имеющегося оборудования.,between1And3,От 1 года до 3 лет,149191,Сталепромышленная компания,,,,
78875468,Резчик холодного металла,https://hh.ru/applicant/vacancy_response?vacancyId=78875468,full,Полная занятость,57000,,"Обязательно наличие удостоверения газорезчика. Дисциплинированность. Внимательность, исполнительность, аккуратность.",Работа на станах (резка металла). Наладка/переналадка станов.,noExperience,Нет опыта,149191,Сталепромышленная компания,,,,
80919587,Электромонтер,https://hh.ru/applicant/vacancy_response?vacancyId=80919587,full,Полная занятость,80000,100000,"Знание устройства и принцип работы электрооборудования ГПМ (мостовые. Козловые, башенные краны). Внимательность к мелочам. Ответственность.","Обслуживание осветительных установок, производственных участков, цехов. Проверка, разборка и сборка схем управления аппаратурой и релейной. Защиты. Наладка, регулировка и ремонт...",between1And3,От 1 года до 3 лет,149191,Сталепромышленная компания,,,,
80919651,Слесарь по ремонту оборудования,https://hh.ru/applicant/vacancy_response?vacancyId=80919651,full,Полная занятость,60000,,Опыт работы от 3-х лет. Умение работать со слесарным инструментом. Умение работать с измерительным инструментом. Знание основ гидравлики. ,Ремонт и обслуживание оборудования предприятия.,between1And3,От 1 года до 3 лет,149191,Сталепромышленная компания,,,,
80621477,Мастер производственного участка,https://hh.ru/applicant/vacancy_response?vacancyId=80621477,full,Полная занятость,75000,,"Опыт работы на производстве от 3 х лет. Опыт управления производственным персоналом, от 5 человек. Знание норм и правил охраны...",Организация и контроль работы линии производства электросварной трубы.,between3And6,От 3 до 6 лет,149191,Сталепромышленная компания,,,,
81342340,Стропальщик,https://hh.ru/applicant/vacancy_response?vacancyId=81342340,full,Полная занятость,50600,80000,"Внимательность, ответственность, организованность. Наличие удостоверения стропальщика желательно, но возможно обучение за счет компании. Исполнительность.",Строповка грузов на складе металлопроката. Погрузо-разгрузочные работы. Поддержание порядка на рабочем месте.,noExperience,Нет опыта,149191,Сталепромышленная компания,,,,
79016883,Вальцовщик (обслуживание станков),https://hh.ru/applicant/vacancy_response?vacancyId=79016883,full,Полная занятость,50000,,Высокая степень обучаемости. Приветствуется опыт работы на оборудовании. Приветствуется опыт работы со слесарным инструментом.,"Работа на станах, наладка/переналадка станов, мойка, чистка, осмотр. Профилегибочных роликов.",noExperience,Нет опыта,149191,Сталепромышленная компания,,,,
80483688,Менеджер по продажам металлопроката,https://hh.ru/applicant/vacancy_response?vacancyId=80483688,full,Полная занятость,60000,280000,Аналитический склад ума. Активная жизненная позиция. Развитые коммуникативные навыки. Клиентоориентированность. Знание металлопроката будет являться преимуществом.,"Сопровождение продаж металлопроката (активный поиск клиентов, в том числе холодный обзвон, составление коммерческих предложений, контроль отгрузки). Ведение переговоров с клиентами. ",between1And3,От 1 года до 3 лет,149191,Сталепромышленная компания,,,,
80919875,Оператор линии (резка),https://hh.ru/applicant/vacancy_response?vacancyId=80919875,full,Полная занятость,50000,80000,Внимательность. Ответственность.,Управление станком производственной линии на участке резки.,between1And3,От 1 года до 3 лет,149191,Сталепромышленная компания,,,,
80131413,Менеджер по продажам домов/ менеджер по работе с клиентами,https://hh.ru/applicant/vacancy_response?vacancyId=80131413,full,Полная занятость,80000,,Среднее специальное. Опыт работы в продажах или строительстве более 2х лет. Опытный пользователь офисных программ и AutoCAD (и желательно...,"Продажа домов из сэндвич панелей и каркасных домов. Консультирование клиентов по вопросам строительства. Подготовка и заключение подрядных договоров, ведение клиента...",between1And3,От 1 года до 3 лет,9570399,Строительная компания Куб,43.306336,132.08986,,
