id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
82205474,Судовой агент,https://hh.ru/applicant/vacancy_response?vacancyId=82205474,full,Полная занятость,80000,,"Опыт работы в области судового агентирования будет являться преимуществом. Знания нормативных, правовых и методических материалов по вопросам деятельности судового агента. ","Работа с иностранными судами: Заниматься подготовкой судовых документов, а также проверкой судовых документов. Информирование поставщиков о необходимости снабжения, ремонта судна...",noExperience,Нет опыта,4895273,Ист Эдженси,,,,
82205261,Продавец-консультант в магазин ВинЛаб (пгт. Славянка ул. Ленинская 64 Д),https://hh.ru/applicant/vacancy_response?vacancyId=82205261,full,Полная занятость,29000,37000,"Желание развиваться в продажах и виноторговле. Проактивность, целеустремленность, коммуникабельность, исполнительность. Индивидуальный подход к каждому покупателю.",Консультировать покупателей. Работать с кассой. Соблюдать стандарты мерчендайзинга. Выполнять плановые показатели. Участвовать в приемке товара. Поддерживать чистоту в торговом зале...,noExperience,Нет опыта,5676487,Винлаб,,,,
79696646,Электромонтер оперативно-выездной бригады 3 разряда,https://hh.ru/applicant/vacancy_response?vacancyId=79696646,full,Полная занятость,38000,38700,Среднее профессиональное (техническое) образование.,"Выявлять поврежденное оборудование и производить необходимые оперативные переключения для восстановления электроснабжения потребителей. Подготавливать рабочие места, допускать бригады к работе, вести...",noExperience,Нет опыта,1126280,ДРСК Приморские электрические сети,,,,
82109067,Торговый представитель,https://hh.ru/applicant/vacancy_response?vacancyId=82109067,full,Полная занятость,80000,100000,,Выполнение поставленных планов продаж. Работа с текущей активной клиентской базой. Поиск и привлечение новых клиентов. Развитие контрактов на вверенной территории. ,noExperience,Нет опыта,716137,Проект,,,,
81641798,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641798,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
80873974,Мастер по сварке,https://hh.ru/applicant/vacancy_response?vacancyId=80873974,full,Полная занятость,100000,,"Высшее образование по специальности: ""сварочное производство"".","Приемка работ по реконструкции, переоснащению и оптимизации сварочного производства на участке, организация исправления выявленных дефектов, составление графиков выполнения работ участка...",between3And6,От 3 до 6 лет,4825379,Комсомольскэнергомонтаж,,,,
80930941,"Сварщик РД, РАД и МП 5 – 6 разряда",https://hh.ru/applicant/vacancy_response?vacancyId=80930941,full,Полная занятость,120000,,"Ответственное отношение к работе и инструменту. Документы о допуске к выполнению сварочных работ (сертификаты, удостоверения, свидетельства). НАКС желателен КО, ГО...",Ручная дуговая сварка деталей трубопроводов под ультразвуковой (рентгенографический) контроль. Ручная аргонодуговая сварка деталей трубопроводов под ультразвуковой (рентгенографический) контроль. ,between3And6,От 3 до 6 лет,4825379,Комсомольскэнергомонтаж,,,,
80220183,"Продавец-кассир (пгт Славянка, ул. Молодёжная, 12)",https://hh.ru/applicant/vacancy_response?vacancyId=80220183,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми, стрессоустойчивость. Энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,42.857084,131.396415,,
80539208,"Продавец-кассир (пгт. Славянка, ул. Ленинская, 64 д)",https://hh.ru/applicant/vacancy_response?vacancyId=80539208,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми, стрессоустойчивость. Энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,42.864856,131.38268,,
81739206,"Администратор магазинов (ул. Ленинская 64 д, Молодежная 12)",https://hh.ru/applicant/vacancy_response?vacancyId=81739206,full,Полная занятость,55000,,Опыт работы на аналогичной должности от 1 года. Знание кассовой дисциплины. Организаторские способности. Высокая степень ответственности. Готовность работать с покупателями...,Управление работой двух торговых точек: Ленинская 64 д; Молодежная 12. Контроль и организация работы персонала. Приемка товара и организация выкладки. ,between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,42.864856,131.38268,,
