id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80783908,Монтажник интернет-сетей,https://hh.ru/applicant/vacancy_response?vacancyId=80783908,full,Полная занятость,,40000,Образование не ниже среднего. Опыт работы не нужен. Готовность к разъездному и интенсивному характеру работы. Грамотная речь и четкая дикция. ,"Подключение новых абонентов (физических лиц) к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом. Настройка оборудования и первичная проверка работоспособности. ",noExperience,Нет опыта,2748,Ростелеком,,,,
81686652,"Продавец-кассир (с. Черниговка, ул. Будёного 26а)",https://hh.ru/applicant/vacancy_response?vacancyId=81686652,full,Полная занятость,40000,,Клиентоориентированность. Желание работать с людьми. Стрессоустойчивость. Энергичность и позитивный настрой.,"Работа с покупателями (консультирование, прямые продажи). Работа на кассе (ТСД). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в...",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,44.342656,132.574627,,
81641799,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641799,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
81685804,Обвязчик,https://hh.ru/applicant/vacancy_response?vacancyId=81685804,full,Полная занятость,40000,,,Установка поддонов. Выборка продукции. Обвязка и маркировка продукции.,noExperience,Нет опыта,222578,Тереховский ЗБИ,43.656561,131.93093,,
81894546,Диспетчер транспортного отдела,https://hh.ru/applicant/vacancy_response?vacancyId=81894546,full,Полная занятость,52000,52000,"Опыт работы от 1 года. Внимательность, ответственность, пунктуальность.","Обработка путевой документации (выдача, контроль заполнения и возврат путевых листов). Ведение ежесуточной отчетности (контроль вывозимых объемов, сбор информации и оформление...",between1And3,От 1 года до 3 лет,9817777,АТЭК,,,,
81872061,Слесарь (ВАХТА в пгт Сибирцево),https://hh.ru/applicant/vacancy_response?vacancyId=81872061,full,Полная занятость,60000,80000,"Желательно наличие образования, квалификация ""Слесарь"". Без предъявления требований к стажу (принимаем на работу без опыта работы). Среднее профессиональное образование (в...",Ремонт тягового подвижного состава. Разборка вспомогательных частей ремонтируемого объекта подвижного состава. Разборка и сборка основных узлов с различными типами посадок. ,noExperience,Нет опыта,9732767,Филиал Дальневосточный ООО ЛокоТех-Сервис,,,,
81829581,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829581,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
69319027,"Продавец-консультант в салон сотовой связи Tele2 (Октябрьская, 50)",https://hh.ru/applicant/vacancy_response?vacancyId=69319027,full,Полная занятость,30000,,Высокий уровень ответственности.,Консультирование приходящих клиентов. Продажа цифровой техники и аксессуаров. Подключение абонентов к Tele2. Работа с кассой. Оформление кредитов и рассрочек. ,noExperience,Нет опыта,3653247,Мобильный Ритейл,,,,
76437313,Продавец-консультант (Черниговка \ Сибирцево),https://hh.ru/applicant/vacancy_response?vacancyId=76437313,full,Полная занятость,30000,,"Если у Вас нет опыта работы в данной сфере! Мы всему научим, все расскажем. Главное — Ваше желание!",Поддержание чистоты и порядка на торговой точке. - Помогать клиентам в выборе лучших технических новинок. - Продавать товары ( мелкая цифровая техника) и...,noExperience,Нет опыта,3653247,Мобильный Ритейл,,,,
81809514,Автомеханик/Автослесарь во Владивостоке,https://hh.ru/applicant/vacancy_response?vacancyId=81809514,full,Полная занятость,80000,120000,"Профильное образование будет Вашим преимуществом. Знание технического устройства ТС, технологии проведения ТО. Опыт ремонта и обслуживания ТС отечественного автопрома от...","Ремонт и техобслуживание ТС собственного автопарка (автобусы ПАЗ, ГАЗ 2015-2018 года выпуска).",between1And3,От 1 года до 3 лет,3484457,Влад Рейс,,,,
