id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81641800,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641800,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
80855563,Инженер связи,https://hh.ru/applicant/vacancy_response?vacancyId=80855563,full,Полная занятость,35000,40000,Средне специальное. Без опыта.,Подключение абонентов к услугам связи. - Настройка абонентского оборудования. - Устранение неисправностей на линии связи.,noExperience,Нет опыта,2748,Ростелеком,,,,
80766747,"Слесарь механосборочных работ 3-6 разряда (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766747,full,Полная занятость,60000,,Опыт работы слесарем механосборочных работ по имеющемуся разряду.,"Сборка и регулировка деталей и узлов. Сверление деталей по разметке и кондуктору на сверлильном станке, нарезание резьбы метчиками или плашкой...",between1And3,От 1 года до 3 лет,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
80766579,"Токарь/Фрезеровщик - Ученик (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766579,probation,Стажировка,35000,,,,noExperience,Нет опыта,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
80766171,"Сборщик-клепальщик/Ученик (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766171,full,Полная занятость,35000,,,,noExperience,Нет опыта,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
81894547,Диспетчер транспортного отдела,https://hh.ru/applicant/vacancy_response?vacancyId=81894547,full,Полная занятость,52000,52000,"Опыт работы от 1 года. Внимательность, ответственность, пунктуальность.","Обработка путевой документации (выдача, контроль заполнения и возврат путевых листов). Ведение ежесуточной отчетности (контроль вывозимых объемов, сбор информации и оформление...",between1And3,От 1 года до 3 лет,9817777,АТЭК,,,,
78698686,Начальник отделения почтовой связи (Чугуевский район),https://hh.ru/applicant/vacancy_response?vacancyId=78698686,full,Полная занятость,24500,29000,"Опыт на руководящей должности не менее 6 месяцев. Знание офисных программ – Word, Excel, умение пользоваться электронной почтой. Стрессоустойчивость. ","Организовывать работу по оказанию услуг почтовой связи ( рабочий день начинается с получения почтовых отправлений и т.д. в офисе, далее...",between1And3,От 1 года до 3 лет,4352,Почта России,,,,
79897437,Начальник отделения почтовой связи (с. Уборка),https://hh.ru/applicant/vacancy_response?vacancyId=79897437,full,Полная занятость,17000,20500,"Опыт на руководящей должности не менее 6 месяцев. Знание офисных программ – Word, Excel, умение пользоваться электронной почтой. Аналитический склад ума. ","Организовывать работу сотрудников отделения почтовой связи. Осуществлять подбор, обучение и адаптацию сотрудников отделения. Управлять показателями деятельности отделения. Контролировать кассовые операции...",between1And3,От 1 года до 3 лет,4352,Почта России,,,,
79897450,Начальник отделения почтовой связи (с.Каменка),https://hh.ru/applicant/vacancy_response?vacancyId=79897450,full,Полная занятость,12300,17500,"Опыт на руководящей должности не менее 6 месяцев. Знание офисных программ – Word, Excel, умение пользоваться электронной почтой. Аналитический склад ума. ","Организовывать работу сотрудников отделения почтовой связи. Осуществлять подбор, обучение и адаптацию сотрудников отделения. Управлять показателями деятельности отделения. Контролировать кассовые операции...",between1And3,От 1 года до 3 лет,4352,Почта России,,,,
81809515,Автомеханик/Автослесарь во Владивостоке,https://hh.ru/applicant/vacancy_response?vacancyId=81809515,full,Полная занятость,80000,120000,"Профильное образование будет Вашим преимуществом. Знание технического устройства ТС, технологии проведения ТО. Опыт ремонта и обслуживания ТС отечественного автопрома от...","Ремонт и техобслуживание ТС собственного автопарка (автобусы ПАЗ, ГАЗ 2015-2018 года выпуска).",between1And3,От 1 года до 3 лет,3484457,Влад Рейс,,,,
81599377,Техник связи,https://hh.ru/applicant/vacancy_response?vacancyId=81599377,full,Полная занятость,50000,60000,Опыт работы с электричеством. Готовность к разъездному характеру работы.,Аварийно - восстановительные работы по обеспечению временного энергоснабжения на базовых станциях с помощью автономной генераторной установки.,noExperience,Нет опыта,2748,Ростелеком,44.158533,133.860072,,
79860723,Электромонтер по ремонту воздушных линий электропередачи,https://hh.ru/applicant/vacancy_response?vacancyId=79860723,full,Полная занятость,50000,,"Работа на высоте, работа в действующих электроустановках напряжением выше 1000 В. Наличие командировок. Квалификационная группа по электробезопасности не ниже II. ",Профессиональное обучение - программы профессиональной подготовки по профессиям рабочих в области ремонта воздушных линий электропередачи.,noExperience,Нет опыта,3607,Федеральная сетевая компания – Россети,44.180834,133.872846,,
