id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
79752738,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=79752738,full,Полная занятость,23000,38500,Стрессоустойчивость. Коммуникабельность. Работа в команде.,Консультирование клиентов. Выкладка товаров. Поддержание чистоты и порядка в торговом зале. Участие в приемке товаров. Кассовая дисциплина. Расчет клиентов на...,noExperience,Нет опыта,4175135,Бонжур,,,,
81068798,Продавец-консультант в салон связи,https://hh.ru/applicant/vacancy_response?vacancyId=81068798,full,Полная занятость,27000,,имеешь опыт в продажах или готов научиться и получить его. - любишь общаться и располагаешь к себе людей.,,noExperience,Нет опыта,3653247,Мобильный Ритейл,44.740055,132.042187,,
81641801,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641801,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
81685802,Обвязчик,https://hh.ru/applicant/vacancy_response?vacancyId=81685802,full,Полная занятость,40000,,,Установка поддонов. Выборка продукции. Обвязка и маркировка продукции.,noExperience,Нет опыта,222578,Тереховский ЗБИ,43.656561,131.93093,,
82000261,Автомеханик,https://hh.ru/applicant/vacancy_response?vacancyId=82000261,full,Полная занятость,60000,,"Техническая грамотность , аккуратность в работе, ответственный подход к своей работе. Желание развиваться.","диагностика и ремонт ходовой части и двигателя. -техническое обслуживание, замена масла и фильтров. -замена тормозных колодок. -элементов подвески. - ",between1And3,От 1 года до 3 лет,5721357,Реноме,,,,
80550061,Почтальон (село Астраханка),https://hh.ru/applicant/vacancy_response?vacancyId=80550061,full,Полная занятость,20000,23500,"Готовность к пешеходному передвижению по городу или населенному пункту. Готовность к работе с денежными средствами. Будет плюсом, если у вас...","Доставлять и вручать адресатам почтовые отправления, печатные издания, рекламные материалы и письменную корреспонденцию. Доставлять и вручать пенсии и пособия. ",noExperience,Нет опыта,4352,Почта России,44.722125,132.062615,,
81809501,Автомеханик/Автослесарь во Владивостоке,https://hh.ru/applicant/vacancy_response?vacancyId=81809501,full,Полная занятость,80000,120000,"Профильное образование будет Вашим преимуществом. Знание технического устройства ТС, технологии проведения ТО. Опыт ремонта и обслуживания ТС отечественного автопрома от...","Ремонт и техобслуживание ТС собственного автопарка (автобусы ПАЗ, ГАЗ 2015-2018 года выпуска).",between1And3,От 1 года до 3 лет,3484457,Влад Рейс,,,,
81773601,Начальник лаборатории масложиркомбината в Ханкайском районе,https://hh.ru/applicant/vacancy_response?vacancyId=81773601,full,Полная занятость,50000,70000,,"Обязанности: Организует проведение химических анализов, физико-химических, механических испытаний и других исследований с целью обеспечения лабораторного контроля соответствия качества сырья...",between1And3,От 1 года до 3 лет,3866548,АПК АЛЬЯНС,44.723982,132.027562,,
81685874,Специалист по охране труда и технике безопасности,https://hh.ru/applicant/vacancy_response?vacancyId=81685874,full,Полная занятость,45000,,Действующее удостоверение по общим вопросам охраны труда.,1. Проведение вводных инструктажей по охране труда и пожарной безопасности. 2. Осуществление контроля за своевременным прохождением работниками периодических медицинских осмотров...,between1And3,От 1 года до 3 лет,574525,Сфера Менеджмент,,,,
81682580,Фельдшер на предрейсовый осмотр,https://hh.ru/applicant/vacancy_response?vacancyId=81682580,part,Частичная занятость,,,Среднее специальное образование.,Предрейсовые осмотры водителей и механизаторов.,noExperience,Нет опыта,574525,Сфера Менеджмент,,,,
81681804,Кладовщик,https://hh.ru/applicant/vacancy_response?vacancyId=81681804,full,Полная занятость,35000,35000,Средне-специальное или высшее образование. Знание программы 1С. Опыт работы в должности от 1 года.,Бесперебойная работа склада. Оприходование готовой продукции и распределение на складе.,between1And3,От 1 года до 3 лет,574525,Сфера Менеджмент,,,,
71245751,Менеджер по работе с клиентами,https://hh.ru/applicant/vacancy_response?vacancyId=71245751,full,Полная занятость,54000,,"Желание развиваться в банковской сфере и хорошо зарабатывать. Умение налаживать контакты и общаться с людьми. Инициативность, неравнодушие и желание улучшать...",Операционным обслуживанием физических лиц. Предлагать розничные продукты банка. Консультировать клиентов по продуктам и услугам банка. Привлекать новых клиентов. ,noExperience,Нет опыта,7944,Совкомбанк,44.742167,132.043543,,
81340146,Старший помощник капитана,https://hh.ru/applicant/vacancy_response?vacancyId=81340146,full,Полная занятость,365000,367000,"Опыт работы в должности старшего помощника капитана на контейнеровозах не менее 1-го контракта. Знание английского языка на уровне, необходимом...",Погрузка/выгрузка (контейнеровоз). Несение ходовой вахты на мостике. Выполнение служебных обязанностей старшего помощника капитана в соответствии с должностной инструкцией. ,between1And3,От 1 года до 3 лет,2493014,Транзит,,,,
79334676,Водитель автомобиля,https://hh.ru/applicant/vacancy_response?vacancyId=79334676,full,Полная занятость,30000,,Наличие водительского удостоверения категории ВС. Опыт самостоятельного обслуживания и ремонта автомобиля.,,noExperience,Нет опыта,2748,Ростелеком,44.740061,132.042187,,
80874377,Начальник масло - экстракционного производства,https://hh.ru/applicant/vacancy_response?vacancyId=80874377,full,Полная занятость,90000,100000,"Высшее техническое образование (механик КИПиА), опыт работы на производстве или на флоте.","Руководство производственным подразделением (круглосуточная работа производства) общей численностью 45 человек. Обязанности: набор и обучение персонала, распределение дожностных обязанностей, создание и...",moreThan6,Более 6 лет,3866548,АПК АЛЬЯНС,,,,
