id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81641802,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641802,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
81685801,Обвязчик,https://hh.ru/applicant/vacancy_response?vacancyId=81685801,full,Полная занятость,40000,,,Установка поддонов. Выборка продукции. Обвязка и маркировка продукции.,noExperience,Нет опыта,222578,Тереховский ЗБИ,43.656561,131.93093,,
80766043,Слесарь-ученик по изготовлению и доводке деталей летательных аппаратов (город Арсеньев),https://hh.ru/applicant/vacancy_response?vacancyId=80766043,probation,Стажировка,35000,,,Ученик Слесаря по изготовлению и доводке деталей летательных аппаратов.,noExperience,Нет опыта,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
80766578,"Токарь/Фрезеровщик - Ученик (город Арсеньев, Приморский край)",https://hh.ru/applicant/vacancy_response?vacancyId=80766578,probation,Стажировка,35000,,,,noExperience,Нет опыта,150164,ААК ПРОГРЕСС,44.153172,133.260015,,
82000263,Автомеханик,https://hh.ru/applicant/vacancy_response?vacancyId=82000263,full,Полная занятость,60000,,"Техническая грамотность , аккуратность в работе, ответственный подход к своей работе. Желание развиваться.","диагностика и ремонт ходовой части и двигателя. -техническое обслуживание, замена масла и фильтров. -замена тормозных колодок. -элементов подвески. - ",between1And3,От 1 года до 3 лет,5721357,Реноме,,,,
81929469,Геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81929469,full,Полная занятость,100000,120000,"Знание AutoCAD, AutoCAD Civil 3D и др. - Умение создавать и работать с ЦММ и ЦМР. - Умение создавать и работать...",Проведение исполнительных геодезических съемок. - Осуществление разбивочных и камеральных работ. - Подготовка исполнительных схем. - Сопровождение строительных объектов (площадных и линейных). - ,between3And6,От 3 до 6 лет,4372178,Техстрой,,,,
81929423,Мастер-прораб строительного участка,https://hh.ru/applicant/vacancy_response?vacancyId=81929423,full,Полная занятость,90000,120000,Опыт работы на строительстве дорог. - Профильное образование (не ниже средне-специального).,Осуществлением организации и выполнением строительно-монтажных работ. Ведением журналов производства работ. Организацией приобъектного складского хозяйства и охраны материальных ценностей. ,between3And6,От 3 до 6 лет,4372178,Техстрой,,,,
81929400,Главный инженер,https://hh.ru/applicant/vacancy_response?vacancyId=81929400,full,Полная занятость,250000,,Высшее образование. - Опыт работы не менее 5 лет​​​​​​​.,"Планирование, организация и контроль всех строительных процессов. - Составление графиков производства работ и контроль их исполнения. - Организация взаимодействия с подрядными организациями. - ",moreThan6,Более 6 лет,4372178,Техстрой,,,,
81894545,Диспетчер транспортного отдела,https://hh.ru/applicant/vacancy_response?vacancyId=81894545,full,Полная занятость,52000,52000,"Опыт работы от 1 года. Внимательность, ответственность, пунктуальность.","Обработка путевой документации (выдача, контроль заполнения и возврат путевых листов). Ведение ежесуточной отчетности (контроль вывозимых объемов, сбор информации и оформление...",between1And3,От 1 года до 3 лет,9817777,АТЭК,,,,
81871224,Начальник отделения почтовой связи ( пгт. Ярославский),https://hh.ru/applicant/vacancy_response?vacancyId=81871224,full,Полная занятость,33500,40000,"Опыт на руководящей должности не менее 6 месяцев. Знание офисных программ – Word, Excel, умение пользоваться электронной почтой. Стрессоустойчивость. ","Организовывать работу сотрудников отделения почтовой связи. Осуществлять подбор, обучение и адаптацию сотрудников отделения. Управлять показателями деятельности отделения. Контролировать кассовые операции...",between1And3,От 1 года до 3 лет,4352,Почта России,,,,
