id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80208310,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=80208310,full,Полная занятость,35000,50000,,Консультация покупателей и оформление продаж. Заполнение сопутствующих документов. Выдача товара клиентам. Контроль за качественным и количественным наполнением витрин в магазине. ,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.94894666917626,131.63739142575957,,
81641803,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641803,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
81938684,Администратор в магазин,https://hh.ru/applicant/vacancy_response?vacancyId=81938684,full,Полная занятость,62800,79200,"Опыт работы на аналогичной должности в розничной торговле от года (администратор, управляющий торговым залом, старший продавец, заведующий отделом, ревизор). ",Оперативное управление персоналом. Организация бесперебойной работы магазина в соответствии с политикой компании. Обеспечение выполнения планов продаж. Приёмка товара по накладным...,between1And3,От 1 года до 3 лет,1189320,"Бристоль, сеть магазинов",43.950127,131.626734,,
81894540,Диспетчер транспортного отдела,https://hh.ru/applicant/vacancy_response?vacancyId=81894540,full,Полная занятость,52000,52000,"Опыт работы от 1 года. Внимательность, ответственность, пунктуальность.","Обработка путевой документации (выдача, контроль заполнения и возврат путевых листов). Ведение ежесуточной отчетности (контроль вывозимых объемов, сбор информации и оформление...",between1And3,От 1 года до 3 лет,9817777,АТЭК,,,,
81829572,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829572,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
81825810,Линейный механик,https://hh.ru/applicant/vacancy_response?vacancyId=81825810,full,Полная занятость,82000,82000,"Опыт работы в дорожно-строительных, добывающих предприятиях. Опыт работы со спец. техникой иностранного производства.","Руководство группой слесарей, проведение контроля исполнения качественного ремонта техники. Составление заявок на запчасти, для передачи в отдел снабжения. ",between1And3,От 1 года до 3 лет,9817777,АТЭК,,,,
81811011,Продавец-консультант в салоны сотовой связи,https://hh.ru/applicant/vacancy_response?vacancyId=81811011,full,Полная занятость,37000,55000,Уверенный пользователь ПК. - Желание развиваться в сфере продаж (опыт работы в сфере продаж будет преимуществом!). - Готовность учиться и передавать знания...,"Продажа мобильных устройств, аксессуаров и дополнительных услуг. - Консультирование клиентов. - Подключение и обслуживание абонентов сотовой связи. - Работа с кассой. - ",noExperience,Нет опыта,950896,Группа компаний Альянс,43.947615,131.631863,,
81685686,Начальник отдела АХО,https://hh.ru/applicant/vacancy_response?vacancyId=81685686,full,Полная занятость,40000,50000,"Образование не ниже средне-специального. Стрессоустойчивость, пунктуальность.","Направлять и координировать деятельность подчиненного ему персонала. Организовывать проведение ремонта помещений, осуществлять контроль качества выполнения ремонтных работ. Обеспечивать подразделения завода...",between1And3,От 1 года до 3 лет,222578,Тереховский ЗБИ,,,,
81624899,Почтальон,https://hh.ru/applicant/vacancy_response?vacancyId=81624899,full,Полная занятость,21800,26000,"Готовность к пешеходному передвижению по городу или населенному пункту. Готовность к работе с денежными средствами. Будет плюсом, если у вас...","Доставлять и вручать адресатам почтовые отправления, печатные издания, рекламные материалы и письменную корреспонденцию. Доставлять и вручать пенсии и пособия. ",noExperience,Нет опыта,4352,Почта России,43.947336,131.634495,,
74125911,Водитель автомобиля,https://hh.ru/applicant/vacancy_response?vacancyId=74125911,full,Полная занятость,25000,,Наличие прав категории В. Опыт вождения от 3-х лет.,Управление автомобилем категории B с механической коробкой передач. Доставка сотрудников компании к месту проведения работ.,noExperience,Нет опыта,2748,Ростелеком,,,,
69881804,Продавец-консультант в Покровку,https://hh.ru/applicant/vacancy_response?vacancyId=69881804,full,Полная занятость,30000,,"Что мы хотим: Если у Вас нет опыта работы в данной сфере — не беда! Всему научим, все расскажем. ","Заниматься продажей телефонов и услуг. - Оформлять кредиты, рассрочки на продукцию салона.",noExperience,Нет опыта,3653247,Мобильный Ритейл,,,,
