id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81641804,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641804,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
71245756,Менеджер по работе с клиентами,https://hh.ru/applicant/vacancy_response?vacancyId=71245756,full,Полная занятость,54000,,"Желание развиваться в банковской сфере и хорошо зарабатывать. Умение налаживать контакты и общаться с людьми. Инициативность, неравнодушие и желание улучшать...",Операционным обслуживанием физических лиц. Предлагать розничные продукты банка. Консультировать клиентов по продуктам и услугам банка. Привлекать новых клиентов. ,noExperience,Нет опыта,7944,Совкомбанк,44.407016,131.379113,,
81894541,Диспетчер транспортного отдела,https://hh.ru/applicant/vacancy_response?vacancyId=81894541,full,Полная занятость,52000,52000,"Опыт работы от 1 года. Внимательность, ответственность, пунктуальность.","Обработка путевой документации (выдача, контроль заполнения и возврат путевых листов). Ведение ежесуточной отчетности (контроль вывозимых объемов, сбор информации и оформление...",between1And3,От 1 года до 3 лет,9817777,АТЭК,,,,
81829571,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829571,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
76272416,Специалист по обслуживанию абонентов,https://hh.ru/applicant/vacancy_response?vacancyId=76272416,full,Полная занятость,50000,,Опыт работы – не имеет значения всему научим! Умение работать строительным инструментом и умение монтажа кабельных линий будет преимуществом. Разъездная работа. ,"Выездная техническая поддержка, подключение, отключение и сервисное обслуживание абонентов, обслуживание инфраструктуры, качественно, в срок, без нарушений. Продвижение и продажа услуг...",noExperience,Нет опыта,9300947,Чупров Алексей Вячеславович,,,,
80404720,Заведующий хозяйством (Пограничный),https://hh.ru/applicant/vacancy_response?vacancyId=80404720,full,Полная занятость,23500,27000,Образование - среднее полное. Опыт работы - приветствуется. Знание ПК.,Соблюдение правил внутреннего трудового распорядка. Распределение материальных ценностей по отделениям почтовой связи. Контроль за состоянием запасов склада. Ведение отчетности. ,noExperience,Нет опыта,4352,Почта России,44.410352,131.375987,,
78384748,Водитель автомобиля 4 разряда,https://hh.ru/applicant/vacancy_response?vacancyId=78384748,full,Полная занятость,51000,51500,Среднее образование. Категория прав В;С. Подверженный стаж 3 года.,Работы по ремонту и техническому обслуживанию закреплённого автотранспорта. Управление автомобилем в сложных дорожных и метеорологических условиях. Выполнение вышкомонтажных работ. ,noExperience,Нет опыта,1126280,ДРСК Приморские электрические сети,,,,
78012514,Специалист по охране труда,https://hh.ru/applicant/vacancy_response?vacancyId=78012514,full,Полная занятость,21000,24000,Образование : среднее -специальное. Опыт работы : приветствуется.,Разработка и обеспечение функционирования системы охраны труда на предприятии. Обучение и проведение инструктажа по охране труда. Контроль над выполнением требований...,noExperience,Нет опыта,4352,Почта России,,,,
78110027,Грузчик (пгт. Пограничный),https://hh.ru/applicant/vacancy_response?vacancyId=78110027,full,Полная занятость,22000,24000,Готовность к физической нагрузке. Ответственное отношение к работе.,"Осуществлять перемещение, погрузку и выгрузку почтовых отправлений. Укладывать почтовые отправления и почтовые емкости на ручные тележки, размещать их в производственном...",noExperience,Нет опыта,4352,Почта России,,,,
79128355,Кладовщик (пгт. Пограничный),https://hh.ru/applicant/vacancy_response?vacancyId=79128355,full,Полная занятость,21200,24500,"Желателен опыт работы от 1 года. Уверенный пользователь ПК, знание 1С. Приветствуется знание ведения складского хозяйства.","Отгрузка и приемка ТМЦ на склад, размещение ТМЦ в соответствующих зонах хранения. Выполнение погрузо-разгрузочных работ. Сборка заказов.",noExperience,Нет опыта,4352,Почта России,44.410352,131.375987,,
81290887,Директор контейнерного терминала,https://hh.ru/applicant/vacancy_response?vacancyId=81290887,full,Полная занятость,200000,250000,"Кандидат должен иметь соответствующий опыт в транспортно-логистической деятельности. В том числе должен быть знаком с подъемно-транспортным оборудованием, организацией...","Руководство операционной деятельностью контейнерного терминала, коммерческая работа.",moreThan6,Более 6 лет,9882727,Дальневосточный экспедитор,,,,
81001543,Инженер машинно-тракторного парка,https://hh.ru/applicant/vacancy_response?vacancyId=81001543,full,Полная занятость,,,"Техническое образование. Знание устройства сельскохозяйственных машин, правил эксплуатации, ремонта и технического обслуживания машинно-тракторного парка. Знание ПК на уровне уверенного...","Отвечать за готовность тракторной техники к производственному процессу закрепленного участка. Отвечать за проведение ТО, планового и оперативного ремонта тракторной техники...",between1And3,От 1 года до 3 лет,23186,Группа Компаний РУСАГРО,,,,
80948320,"Продавец (Серпухов, Пограничный, 1А)",https://hh.ru/applicant/vacancy_response?vacancyId=80948320,full,Полная занятость,33000,45000,"Желание работать с покупателями, остальному научим!",Работа за кассой и в торговом зале. Консультация покупателей. Выкладка и отслеживание сроков годности товаров.,noExperience,Нет опыта,1942330,Пятёрочка,54.9251578,37.4649999,,
