id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80920373,"Продавец-консультант ВинЛаб (с. Михайловка, ул. Ленинская 169, Красноармейская 27)",https://hh.ru/applicant/vacancy_response?vacancyId=80920373,full,Полная занятость,30000,40000,"Желание развиваться в продажах и виноторговле. Проактивность, целеустремленность, коммуникабельность, исполнительность. Индивидуальный подход к каждому покупателю.",Консультировать покупателей. Работать с кассой. Соблюдать стандарты мерчендайзинга. Выполнять плановые показатели. Участвовать в приемке товара. Поддерживать чистоту в торговом зале...,noExperience,Нет опыта,5676487,Винлаб,43.942326,132.005329,,
81641805,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641805,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
82000267,Автомеханик,https://hh.ru/applicant/vacancy_response?vacancyId=82000267,full,Полная занятость,60000,,"Техническая грамотность , аккуратность в работе, ответственный подход к своей работе. Желание развиваться.","диагностика и ремонт ходовой части и двигателя. -техническое обслуживание, замена масла и фильтров. -замена тормозных колодок. -элементов подвески. - ",between1And3,От 1 года до 3 лет,5721357,Реноме,,,,
81894538,Диспетчер транспортного отдела,https://hh.ru/applicant/vacancy_response?vacancyId=81894538,full,Полная занятость,52000,52000,"Опыт работы от 1 года. Внимательность, ответственность, пунктуальность.","Обработка путевой документации (выдача, контроль заполнения и возврат путевых листов). Ведение ежесуточной отчетности (контроль вывозимых объемов, сбор информации и оформление...",between1And3,От 1 года до 3 лет,9817777,АТЭК,,,,
81829567,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829567,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
81809504,Автомеханик/Автослесарь во Владивостоке,https://hh.ru/applicant/vacancy_response?vacancyId=81809504,full,Полная занятость,80000,120000,"Профильное образование будет Вашим преимуществом. Знание технического устройства ТС, технологии проведения ТО. Опыт ремонта и обслуживания ТС отечественного автопрома от...","Ремонт и техобслуживание ТС собственного автопарка (автобусы ПАЗ, ГАЗ 2015-2018 года выпуска).",between1And3,От 1 года до 3 лет,3484457,Влад Рейс,,,,
81773602,Начальник лаборатории масложиркомбината в Ханкайском районе,https://hh.ru/applicant/vacancy_response?vacancyId=81773602,full,Полная занятость,50000,70000,,"Обязанности: Организует проведение химических анализов, физико-химических, механических испытаний и других исследований с целью обеспечения лабораторного контроля соответствия качества сырья...",between1And3,От 1 года до 3 лет,3866548,АПК АЛЬЯНС,44.723982,132.027562,,
81733429,Бухгалтер,https://hh.ru/applicant/vacancy_response?vacancyId=81733429,full,Полная занятость,40000,,"Уверенный пользователь ПК, интернета. Желательно знание программы 1С. Навык работы с оргтехникой: принтер, сканер, ксерокс. Внимательность, ответственность, обучаемость.","Работа с первичной документацией, ТТН. - Взвешивание автомашин, контроль доставки груза до покупателя. - Составление отчёта в конце рабочей смены. - ",between1And3,От 1 года до 3 лет,4372178,Техстрой,,,,
80625207,Старший диспетчер,https://hh.ru/applicant/vacancy_response?vacancyId=80625207,full,Полная занятость,52000,,Для выполнения трудовых функций Вам потребуется знание программ: 1С. Желателен опыт с идентичным функционалом​​​​​​​​​​​​​​.,"Логистикой. Выпуск автотранспорта. Ведением табеля учета рабочего времени. Сотрудничество с контрагентами, заведением заявок на оплату поставщикам услуг,Организацией и контролем...",between1And3,От 1 года до 3 лет,4372178,Техстрой,43.13546,131.936689,,
80015267,Судебный пристав по обеспечению установленного порядка деятельности судов с.Михайловка,https://hh.ru/applicant/vacancy_response?vacancyId=80015267,full,Полная занятость,50000,,"Физическая подготовленность. Военный билет категории годности «А», «Б» (для военнообязанных).","Судебный пристав по обеспечению установленного порядка деятельности судов обязан: Обеспечивать в суде, а при выполнении отдельных процессуальных действий вне здания...",noExperience,Нет опыта,5131271,Главное управление Федеральной службы судебных приставов по Приморскому краю,,,,
