id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
78767764,Представитель Тинькофф,https://hh.ru/applicant/vacancy_response?vacancyId=78767764,full,Полная занятость,45000,,Умение найти индивидуальный подход к клиенту и рассказать об актуальном для него продукте. Понимание техники продаж и готовность развивать этот...,"Встречаться с клиентами лично: доставлять им карты банка и пакеты с документами. Рассказывать о выгоде и преимуществах выбранного продукта, предлагать...",noExperience,Нет опыта,78638,Тинькофф,,,,
79181731,"Продавец-кассир (п. Врангель, ул. Невельского, 3)",https://hh.ru/applicant/vacancy_response?vacancyId=79181731,full,Полная занятость,35000,,Клиентоориентированность. Желание работать с людьми. Стрессоустойчивость. Энергичность и позитивный настрой.,"Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,,,,
81829582,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829582,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
81818803,Оператор поста стрелочных переводов,https://hh.ru/applicant/vacancy_response?vacancyId=81818803,full,Полная занятость,50000,55000,"Свидетельство о наличии профессии будет являться преимуществом. Можно без опыта работы, проводится обучение.",Управление положением автоматизированных стрелок на железнодорожном пути для обеспечения движения железнодорожного транспорта по заданному маршруту. Перевод стрелок и управление сигналами. ,noExperience,Нет опыта,23427,Российские железные дороги,,,,
81816468,Приемосдатчик груза и багажа,https://hh.ru/applicant/vacancy_response?vacancyId=81816468,full,Полная занятость,65000,65000,Рассматриваем кандидатов без опыта работы. Свидетельство о наличии профессии будет являться преимуществом. Умение работать в условиях требующих повышенной концентрации внимания. ,"Организация приема, погрузки, группировки, выгрузки и сдачи груза и багажа при работе с грузом, погруженным в вагоны. Учет принятого груза...",noExperience,Нет опыта,23427,Российские железные дороги,42.726822,133.081268,,
81778439,Оператор производственной линии,https://hh.ru/applicant/vacancy_response?vacancyId=81778439,full,Полная занятость,80000,,"Дисциплинированность, порядочность, инициативность.","Смешивание заранее подготовленных компонентов в указанных пропорциях (полиэфиры, эпоксидные смолы, отвердители, ускорители). Выкладка и резка армирующих тканей (угле и стеклотканей...",noExperience,Нет опыта,68587,"Алабуга, ОЭЗ ППТ",,,,
81728756,Инженер технической поддержки,https://hh.ru/applicant/vacancy_response?vacancyId=81728756,full,Полная занятость,,,Высшее образование. Знания аппаратной части компьютера и операционных систем семейства Windows на уровне администратора. Понимание принципов работы компьютерных сетей и...,"Регистрация и обработка запросов пользователей. Оперативная помощь сотрудникам по устранению неисправностей (определение, локализация и устранение сбоев). Своевременное информирование заявителей о...",between1And3,От 1 года до 3 лет,4873883,НЗМУ,,,,
81572432,Грузчик,https://hh.ru/applicant/vacancy_response?vacancyId=81572432,full,Полная занятость,36000,,,"Погрузо-разгрузочные работы. Сортировка, укладка и перенос товара. Расстановка груза согласно планировке помещения. Очистка после выгрузки товара.",noExperience,Нет опыта,1456592,Компания Группа компаний Реми,,,,
81572419,Продавец,https://hh.ru/applicant/vacancy_response?vacancyId=81572419,full,Полная занятость,32000,,"Рассматриваем как с опытом работы, так и без! Нам важно что бы вы обладали такими качествами как стрессоустойчивость, ответственность и...",Выкладка товара в торговом зале. Контроль сроков годности продукции. Актуальность ценников.,noExperience,Нет опыта,1456592,Компания Группа компаний Реми,,,,
81572367,Продавец-кассир,https://hh.ru/applicant/vacancy_response?vacancyId=81572367,full,Полная занятость,34500,,"Рассматриваем как с опытом работы, так и без! Нам важно что бы вы обладали такими качествами как стрессоустойчивость, ответственность и...",Обслуживание покупателей на кассовых терминалах: наличный и безналичный расчет. Выкладка товара в торговом зале. Контроль сроков годности продукции. Актуальность ценников.,between1And3,От 1 года до 3 лет,1456592,Компания Группа компаний Реми,,,,
81572323,Менеджер по приемке товара,https://hh.ru/applicant/vacancy_response?vacancyId=81572323,full,Полная занятость,40000,,,"Приемка товара по количеству, качеству, срокам годности. Оприходование товара (постановка на учет). Взаимодействие с поставщиками. Работа с возвратами и списаниями...",noExperience,Нет опыта,1456592,Компания Группа компаний Реми,42.77343984376763,133.0560733399448,,
81435545,Буфетчик 4 разряда,https://hh.ru/applicant/vacancy_response?vacancyId=81435545,full,Полная занятость,25000,,"Прохождение предварительного медицинского осмотра при приеме на работу. Знание кассовой дисциплины. Коммуникабельность, вежливость.","Работа в Буфете при доме отдыха локомотивных бригад ст. Находка-Восточная (п. Врангель). Обслуживание покупателей, отпуск готовой кулинарной продукции по...",between1And3,От 1 года до 3 лет,123626,Железнодорожная торговая компания,,,,
81340143,Старший помощник капитана,https://hh.ru/applicant/vacancy_response?vacancyId=81340143,full,Полная занятость,365000,367000,"Опыт работы в должности старшего помощника капитана на контейнеровозах не менее 1-го контракта. Знание английского языка на уровне, необходимом...",Погрузка/выгрузка (контейнеровоз). Несение ходовой вахты на мостике. Выполнение служебных обязанностей старшего помощника капитана в соответствии с должностной инструкцией. ,between1And3,От 1 года до 3 лет,2493014,Транзит,,,,
81290888,Директор контейнерного терминала,https://hh.ru/applicant/vacancy_response?vacancyId=81290888,full,Полная занятость,200000,250000,"Кандидат должен иметь соответствующий опыт в транспортно-логистической деятельности. В том числе должен быть знаком с подъемно-транспортным оборудованием, организацией...","Руководство операционной деятельностью контейнерного терминала, коммерческая работа.",moreThan6,Более 6 лет,9882727,Дальневосточный экспедитор,,,,
80937137,Бухгалтер,https://hh.ru/applicant/vacancy_response?vacancyId=80937137,full,Полная занятость,70000,70000,Опыт работы. Умение с большим объёмом информации.,"Работа с поставщиками и покупателями. Банк, валютные операции. Реализация услуг.",between1And3,От 1 года до 3 лет,907035,Русские Транспортные Линии,,,,
