id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
82146886,Оператор call-центра,https://hh.ru/applicant/vacancy_response?vacancyId=82146886,full,Полная занятость,40000,60000,Грамотная и чётко поставленная речь. Уверенный пользователь ПК. Юридическое образование не требуется. Опыт в работы call-центрах/продажах приветствуется. ,"Обрабатывать уже существующие заявки в CRM-системе (обработка заявок, распределение их по статусам). Принимать входящие звонки от потенциальных клиентов (консультировать...",noExperience,Нет опыта,6135747,ЮК Восточный Бастион (ИП Авилов Андрей Александрович),,,,
82146748,Помощник категорийного менеджера,https://hh.ru/applicant/vacancy_response?vacancyId=82146748,full,Полная занятость,38000,,"внимательность, аналитический склад ума; способность работать с большим объемом информации. -отличное знание офисных и специализированных компьютерных программ.","Закуп товара (работа с прайс-листом, отслеживание приходов). -Взаимодействие с поставщиками, контроль выполнения контрактных условий. -Оформление новинок (размеры, фото). -",between1And3,От 1 года до 3 лет,3543982,Дикси,,,,
82146741,Категорийный менеджер,https://hh.ru/applicant/vacancy_response?vacancyId=82146741,full,Полная занятость,75000,75000,Желателен опыт работы в должности категорийного менеджера не менее года. - Отличное знание возможностей MS Excel; Outlook. - Владение программой 1С. - ,"Формирование ассортиментной матрицы, Ввод/вывод/ротация товаров. * Планирование промо мероприятий. * Составление планограмм для магазинов. * взаимодействие с существующими поставщиками/производителями. ",between1And3,От 1 года до 3 лет,3543982,Дикси,,,,
81641807,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641807,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
80338992,Вечерний контролер,https://hh.ru/applicant/vacancy_response?vacancyId=80338992,full,Полная занятость,45000,45000,Внимательность. Работоспособность.,Контроль качества сборок товара на складском комплексе.,noExperience,Нет опыта,3543982,Дикси,,,,
80920188,Пекарь,https://hh.ru/applicant/vacancy_response?vacancyId=80920188,full,Полная занятость,45000,45000,"Умение вкусно готовить, аккуратность, чистоплотность, ответственное отношение к работе.",Изготовление различного типа теста и изделий из него. Организация чистоты и порядка на рабочем месте.,between1And3,От 1 года до 3 лет,3543982,Дикси,,,,
69507236,Сборщик-комплектовщик,https://hh.ru/applicant/vacancy_response?vacancyId=69507236,full,Полная занятость,45000,45000,Ответственное отношение к материальным ценностям компании.,Комплектация заказов по накладным. - Организация грамотного хранения товаров на складе.,noExperience,Нет опыта,3543982,Дикси,43.340545,132.033752,,
80861884,Системный администратор,https://hh.ru/applicant/vacancy_response?vacancyId=80861884,full,Полная занятость,65000,65000,"Опыт работы на технической поддержке пользователей. - Знание семейства ОС Windows. - Основы работы ЛВС, Wi-Fi, знание принципа работы VPN сетей...","Установка и настройка программного обеспечения для серверного, сетевого оборудования. - Диагностика аппаратного и программного обеспечения серверного и сетевого оборудования с целью...",between1And3,От 1 года до 3 лет,596876,"ДИЛАН, Группа компаний",,,,
81269743,Руководитель отдела закупа,https://hh.ru/applicant/vacancy_response?vacancyId=81269743,full,Полная занятость,,75000,Опыт работы руководителем отдела от 2 лет. Опытный пользователь Excel – сводные таблицы (впр). Умение работать с большим объемом информации.,Организация и контроль работы отдела закупа для розничной сети ГК Дилан (более 150 торговых точек). Разработка мероприятий по оптимизации товарных...,between1And3,От 1 года до 3 лет,596876,"ДИЛАН, Группа компаний",43.378502,132.018085,,
80016172,Продавец-кассир (ОРЦ Приморье),https://hh.ru/applicant/vacancy_response?vacancyId=80016172,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми, стрессоустойчивость. Энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,44.135784,133.273975,,
81435929,Водитель на грузовик с прицепом (категории Е),https://hh.ru/applicant/vacancy_response?vacancyId=81435929,full,Полная занятость,100000,130000,"Наличие водительского удостоверения категории ""Е"". Водительский стаж от 3-х лет на грузовых автомобилях. Опыт работы по грузоперевозкам.","Качественно и своевременно доставлять грузы по Владивостоку, Приморскому, Хабаровскому краю и Иркутской области. Экспедировать грузы. Оформлять сопроводительную документацию.",between1And3,От 1 года до 3 лет,172012,ГК ВЛ Лоджистик,43.327555,132.097721,,
81829570,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829570,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
81812812,Автомеханик/Автослесарь на подработку во Владивостоке,https://hh.ru/applicant/vacancy_response?vacancyId=81812812,project,Проектная работа,,,,"Чем предстоит заниматься? Ремонтом и техобслуживанием ТС собственного автопарка (автобусы ПАЗ, ГАЗ 2015-2018 года выпуска).",between1And3,От 1 года до 3 лет,3484457,Влад Рейс,,,,
81810487,Администратор магазина,https://hh.ru/applicant/vacancy_response?vacancyId=81810487,full,Полная занятость,,60000,"Вашим преимуществом будет являться: — Стаж работы в продажах, желательно на руководящей должности. — Умение управлять коллективом, вести за собой команду. — ","Работа с ЦК (кассовые книги, инкассация). — Организация работы сотрудников торгового зала( бесперебойная выкладка товара , правильность выкладки товара, ценники). — Проведение инвентаризаций. — ",between1And3,От 1 года до 3 лет,641527,Розничное направление ГК Невада,,,,
81810467,Управляющий магазином,https://hh.ru/applicant/vacancy_response?vacancyId=81810467,full,Полная занятость,,70000,"Опыт работы в аналогичной должности или в розничных сетях. — Знание программы 1С: Торговля+Склад, навыки работы с ассортиментом. — ","Организация бесперебойной прибыльной работы супермаркета, контроль соблюдения всех технологий и бизнес-процессов. — Выполнение целевых показателей. — Эффективное взаимодействие со всеми службами...",between1And3,От 1 года до 3 лет,641527,Розничное направление ГК Невада,,,,
81809506,Автомеханик/Автослесарь во Владивостоке,https://hh.ru/applicant/vacancy_response?vacancyId=81809506,full,Полная занятость,80000,120000,"Профильное образование будет Вашим преимуществом. Знание технического устройства ТС, технологии проведения ТО. Опыт ремонта и обслуживания ТС отечественного автопрома от...","Ремонт и техобслуживание ТС собственного автопарка (автобусы ПАЗ, ГАЗ 2015-2018 года выпуска).",between1And3,От 1 года до 3 лет,3484457,Влад Рейс,,,,
81794834,Грузчик (п. Новый),https://hh.ru/applicant/vacancy_response?vacancyId=81794834,full,Полная занятость,35000,,"От Вас: -Активность, ответственность. -Пунктуальность.",Разгрузка/выгрузка товара. -Выкладка товара на полки. -По необходимости на магазине рубка мяса.,noExperience,Нет опыта,3468159,РБ-Групп,,,,
81794813,Сотрудник торгового зала (п. Новый),https://hh.ru/applicant/vacancy_response?vacancyId=81794813,full,Полная занятость,35000,,"От Вас: -Активность, ответственность. -Пунктуальность.",Выкладка товара на полки. -Смена ценников. -Проверка сроков годности.,noExperience,Нет опыта,3468159,РБ-Групп,,,,
