id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80559046,Менеджер продаж финансовых продуктов,https://hh.ru/applicant/vacancy_response?vacancyId=80559046,full,Полная занятость,75000,,,Консультировать и продавать клиентам продукты банка на территории магазина-партнера ДНС. Подбирать для клиента подходящий продукт.,noExperience,Нет опыта,1496,Банк Хоум Кредит,,,,
82206575,Старший специалист по кадровому делопроизводству,https://hh.ru/applicant/vacancy_response?vacancyId=82206575,full,Полная занятость,,,Высшее образование. Опыт работы на аналогичной позиции не менее 2-х лет. Опыт работы с гражданами стран ближнего зарубежья. ,"Ведение кадровой документации в полном объёме (оформление приема, переводов, отпусков и увольнения работников). Формирование личных дел, подготовка приказов. ",between1And3,От 1 года до 3 лет,3919733,Русский минтай,43.32017,131.999077,,
68859974,Продавец-консультант в салон сотовой связи,https://hh.ru/applicant/vacancy_response?vacancyId=68859974,full,Полная занятость,30000,,"У тебя грамотная речь и позитивное отношение к людям. - Тебе нравятся гаджеты, продажи и общение. Если у тебя нет опыта...",Выполнение плановых показателей (в том числе личные продажи). - Поддержание чистоты и порядка на торговой точке. - Помогать клиентам в выборе лучших...,noExperience,Нет опыта,3653247,Мобильный Ритейл,,,,
81069666,"Системный администратор (г.Артём, ул.Солнечная,46)",https://hh.ru/applicant/vacancy_response?vacancyId=81069666,full,Полная занятость,,,Обслуживать офисную и складскую технику (20 ПК). Опыт работы со стандартным программным обеспечением Windows/Office. Знание принципов ремонта компьютерной и...,"Ремонтировать и настраивать компьютеры, заниматься разводкой ЛВС. Вести документооборот (проведение ревизии, установка оборудования). Администрировать специализированное ПО.",between1And3,От 1 года до 3 лет,964662,Группа компаний Невада,,,,
82166080,Сотрудник выдачи,https://hh.ru/applicant/vacancy_response?vacancyId=82166080,full,Полная занятость,37500,53000,,Подбирать заказы и разносить по ячейкам. Выдавать товар купленный в магазине и интернет заказы. Оказывать доп. сервис компании ( установка программ...,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.37049996588304,131.993334836805,,
82156316,Продавец - консультант в ювелирный салон в Вольно-Надежденске,https://hh.ru/applicant/vacancy_response?vacancyId=82156316,full,Полная занятость,40000,60000,"Идеальный кандидат должен иметь опыт в продажах. Уважительно относиться к покупателям. Быть активным и позитивным, доброжелательным и коммуникабельным, а так...","Приветствуется опыт в продажах, грамотное консультирование покупателей, активная продажа ювелирных изделий, выкладка товара, проведение и оформление кассовых и товарных операций...",between1And3,От 1 года до 3 лет,1767949,Ювелирный дом Золотая Русь,43.371431,131.99127,,
82154074,Охранник,https://hh.ru/applicant/vacancy_response?vacancyId=82154074,full,Полная занятость,,,"Наличие квалификации частного охранника 4, 5, 6 разряда. Наличие действующего удостоверения частного охранника. Опыт работы: не обязателен (опыт работы в...",Обеспечение пропускного и внутриобъектового режимов.,noExperience,Нет опыта,6025,Независимая нефтегазовая компания,,,,
79851896,"Продавец-кассир (п. Новый, ул. Первомайская, 6)",https://hh.ru/applicant/vacancy_response?vacancyId=79851896,full,Полная занятость,40000,,Клиентоориентированность. Желание работать с людьми. Стрессоустойчивость. Энергичность и позитивный настрой.,"Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,,,,
80024192,Продавец-кассир (Надеждинское полесье),https://hh.ru/applicant/vacancy_response?vacancyId=80024192,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми, стрессоустойчивость. Энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,43.376313,132.010036,,
81441752,Кассир - мерчендайзер,https://hh.ru/applicant/vacancy_response?vacancyId=81441752,full,Полная занятость,37500,45000,,"Рассчитывать покупателей на кассе. Вести отчетность. Оформлять кредиты. Выкладывать, выдавать товары и контролировать ценники. Участвовать в инвентаризации и переоценке.",noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.37049996588304,131.993334836805,,
80412817,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=80412817,full,Полная занятость,40000,80000,,Консультировать покупателей и оформлять продажи. Проверять и выдавать товар клиентам. Заполнять сопутствующие документы. Контролировать качественное и количественное наполнение витрин в...,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.370502411471755,131.99333751901412,,
81217728,Специалист IT отдела,https://hh.ru/applicant/vacancy_response?vacancyId=81217728,full,Полная занятость,,60000,Опыт работы с пользователями. Опыт в сфере ремонта/настройки ПК и установки/настройки приложений. Знание и понимание устройства компьютерных сетей...,Помощь сотрудникам в части настройки стандартного офисного ПО и прочим техническим вопросам. Подготовка оборудования для новых пользователей. Поддержание имеющейся СКС...,between1And3,От 1 года до 3 лет,1700279,СтальГрад,,,,
80919853,Инженер - электроник (инженер КИПиА),https://hh.ru/applicant/vacancy_response?vacancyId=80919853,full,Полная занятость,80000,100000,"Опыт в аналогичной должности. Внимательность. Исполнительность. Ответственность. Высшее техническое образование. Приветствуется доп. образование: курсы Simatek, Siemens и т.д. ",Ремонт и обслуживание электрической и электронной части имеющегося оборудования.,between1And3,От 1 года до 3 лет,149191,Сталепромышленная компания,,,,
78875467,Резчик холодного металла,https://hh.ru/applicant/vacancy_response?vacancyId=78875467,full,Полная занятость,57000,,"Обязательно наличие удостоверения газорезчика. Дисциплинированность. Внимательность, исполнительность, аккуратность.",Работа на станах (резка металла). Наладка/переналадка станов.,noExperience,Нет опыта,149191,Сталепромышленная компания,,,,
80919588,Электромонтер,https://hh.ru/applicant/vacancy_response?vacancyId=80919588,full,Полная занятость,80000,100000,"Знание устройства и принцип работы электрооборудования ГПМ (мостовые. Козловые, башенные краны). Внимательность к мелочам. Ответственность.","Обслуживание осветительных установок, производственных участков, цехов. Проверка, разборка и сборка схем управления аппаратурой и релейной. Защиты. Наладка, регулировка и ремонт...",between1And3,От 1 года до 3 лет,149191,Сталепромышленная компания,,,,
