id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
79073379,Продавец-консультант,https://hh.ru/applicant/vacancy_response?vacancyId=79073379,full,Полная занятость,23000,38500,,Работа с клиентами. Консультирование клиентов по продукции магазина. Выкладка товаров по стандартам сети. Участие в инвентаризации. Кассовые операции.,noExperience,Нет опыта,4175135,Бонжур,,,,
82146997,Менеджер по работе с клиентами (пгт. Кировский),https://hh.ru/applicant/vacancy_response?vacancyId=82146997,full,Полная занятость,35000,,"Коммуникативные навыки и внимательное отношение к людям. -Желание узнавать новое, готовность изучать продукты и услуги банка. -Амбиции достигать результатов и...",Проактивная позиция в привлечении потенциальных клиентов: презентация продуктов и услуг гостям офиса продаж и потенциальным клиентам. -Внимательное отношение к клиентам...,between1And3,От 1 года до 3 лет,1049556,Почта Банк,45.092754,133.501006,,
81641809,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641809,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
80790919,Продавец-кассир (п. Кировский),https://hh.ru/applicant/vacancy_response?vacancyId=80790919,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми, стрессоустойчивость. Энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,45.101853,133.494565,,
81829565,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829565,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
69049791,Врач-хирург (приемное отделение),https://hh.ru/applicant/vacancy_response?vacancyId=69049791,full,Полная занятость,50812,60812,"Высшее профессиональное образование по одной из специальностей «Лечебное дело», «Педиатрия» и послевузовское профессиональное образование (интернатура и (или) ординатура) по специальности...","Выполняет перечень работ и услуг для диагностики заболевания, оценки состояния больного и клинической ситуации в соответствии со стандартом медицинской помощи.",noExperience,Нет опыта,2921158,БУ Березовская районная больница,63.936763,65.032637,,
81809502,Автомеханик/Автослесарь во Владивостоке,https://hh.ru/applicant/vacancy_response?vacancyId=81809502,full,Полная занятость,80000,120000,"Профильное образование будет Вашим преимуществом. Знание технического устройства ТС, технологии проведения ТО. Опыт ремонта и обслуживания ТС отечественного автопрома от...","Ремонт и техобслуживание ТС собственного автопарка (автобусы ПАЗ, ГАЗ 2015-2018 года выпуска).",between1And3,От 1 года до 3 лет,3484457,Влад Рейс,,,,
80024302,"Продавец-консультант в салоны сотовой связи, МТС (Кировский)",https://hh.ru/applicant/vacancy_response?vacancyId=80024302,full,Полная занятость,35000,,ГОТОВНОСТЬ К КОМАНДИРОВКАМ ПО ПРИМОРСКОМУ КРАЮ. - Опыт работы в сфере прямых продаж. - Образование не ниже среднего. - Уверенный пользователь ПК. - ,"Продажа мобильных устройств, аксессуаров и дополнительных услуг. - Консультирование клиентов. - Подключение и обслуживание абонентов сотовой связи. - Работа с кассой. - ",between1And3,От 1 года до 3 лет,950896,Группа компаний Альянс,45.091914,133.498832,,
77864617,Электромонтер по эксплуатации распределительных сетей 3 разряд,https://hh.ru/applicant/vacancy_response?vacancyId=77864617,full,Полная занятость,39500,40000,Среднее образование.,Организация и выполнения работ средней сложности по техническому обслуживанию и ремонту воздушных линий распределительных электрических сетей; выполнение отдельных видов ремонтных...,noExperience,Нет опыта,1126280,ДРСК Приморские электрические сети,,,,
77865035,Электромонтер оперативно-выездной бригады 4 разряда,https://hh.ru/applicant/vacancy_response?vacancyId=77865035,full,Полная занятость,42000,42500,Среднее профессиональное (техническое) образование.,"Выявлять поврежденное оборудование и производить необходимые оперативные переключения для восстановления электроснабжения потребителей. Подготавливать рабочие места, допускать бригады к работе, вести...",between1And3,От 1 года до 3 лет,1126280,ДРСК Приморские электрические сети,,,,
81555883,Водитель погрузчика,https://hh.ru/applicant/vacancy_response?vacancyId=81555883,full,Полная занятость,46000,,Наличие водительских прав категории Д.,,noExperience,Нет опыта,5683987,КГУП Приморский экологический оператор,43.159054,131.928963,,
