id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81641812,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641812,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
81681072,Начальник отдела АХО,https://hh.ru/applicant/vacancy_response?vacancyId=81681072,full,Полная занятость,40000,50000,"Образование не ниже средне-специального. Стрессоустойчивость, пунктуальность.","Направлять и координировать деятельность подчиненного ему персонала. Организовывать проведение ремонта помещений, осуществлять контроль качества выполнения ремонтных работ. Обеспечивать подразделения завода...",between1And3,От 1 года до 3 лет,222578,Тереховский ЗБИ,,,,
80990741,Универсальный продавец,https://hh.ru/applicant/vacancy_response?vacancyId=80990741,full,Полная занятость,37500,50000,,"Выкладывать товары на витрины. Поддерживать порядок в торговом зале. Продавать услуги. Выполнять погрузочно-разгрузочные работы. Собирать и выдавать заказы, в...",noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.53921,131.895932,,
82085420,Оператор производственной линии,https://hh.ru/applicant/vacancy_response?vacancyId=82085420,full,Полная занятость,60000,70000,"Техническое образование или опыт работы слесарем электромехаником, опыт работы с производственным оборудованием приветствуется. Обязательно: высокий уровень обучаемости и желание работать...","Производство продукции из переработанного пластика. Обеспечение бесперебойной технически исправной работы производственной линии. Оптимизация расходов и минимизация брака. Уход, наладка, обслуживание...",between1And3,От 1 года до 3 лет,9860802,Репласт,,,,
81501676,Продавец-кассир (п. Раздольное),https://hh.ru/applicant/vacancy_response?vacancyId=81501676,full,Полная занятость,40000,,"Клиентоориентированность. Желание работать с людьми. Стрессоустойчивость, энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,43.518444,131.907116,,
82000265,Автомеханик,https://hh.ru/applicant/vacancy_response?vacancyId=82000265,full,Полная занятость,60000,,"Техническая грамотность , аккуратность в работе, ответственный подход к своей работе. Желание развиваться.","диагностика и ремонт ходовой части и двигателя. -техническое обслуживание, замена масла и фильтров. -замена тормозных колодок. -элементов подвески. - ",between1And3,От 1 года до 3 лет,5721357,Реноме,,,,
81876382,Водитель бензовоза,https://hh.ru/applicant/vacancy_response?vacancyId=81876382,full,Полная занятость,43000,,Знание правил дорожного движения. Знание основ безопасности движения. Знание правил технической эксплуатации автомобилей. Знание правил перевозки опасных грузов автомобильным транспортом.,Управление автомобилем. Управление специальным оборудованием автомобиля с соблюдением правил техники безопасности.,noExperience,Нет опыта,4537149,Востокбункер,,,,
81829573,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829573,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
81809507,Автомеханик/Автослесарь во Владивостоке,https://hh.ru/applicant/vacancy_response?vacancyId=81809507,full,Полная занятость,80000,120000,"Профильное образование будет Вашим преимуществом. Знание технического устройства ТС, технологии проведения ТО. Опыт ремонта и обслуживания ТС отечественного автопрома от...","Ремонт и техобслуживание ТС собственного автопарка (автобусы ПАЗ, ГАЗ 2015-2018 года выпуска).",between1And3,От 1 года до 3 лет,3484457,Влад Рейс,,,,
81687215,Врач-стоматолог,https://hh.ru/applicant/vacancy_response?vacancyId=81687215,full,Полная занятость,70000,,"Оконченное высшее медицинское образование. Ответственность, исполнительность, доброжелательность. Готовы рассмотреть кандидата без опыта работы.",Прием пациентов в поликлинике. Ведение мед.документации.,between1And3,От 1 года до 3 лет,9931007,ГБУЗ Нововасильевская Районная Больница,,,,
81624792,Обвязчик,https://hh.ru/applicant/vacancy_response?vacancyId=81624792,full,Полная занятость,40000,,,Установка поддонов. Выборка продукции. Обвязка и маркировка продукции.,noExperience,Нет опыта,222578,Тереховский ЗБИ,,,,
80859078,Сварщик,https://hh.ru/applicant/vacancy_response?vacancyId=80859078,full,Полная занятость,65000,65000,Умение работать с ручной дуговой сваркой /полуавтоматом.,Проверять исправность вверенного оборудования и поддерживать его работоспособность.,between1And3,От 1 года до 3 лет,8893479,ЗСК Глобал,43.502707,131.902122,,
