id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
81641813,Повар-универсал,https://hh.ru/applicant/vacancy_response?vacancyId=81641813,full,Полная занятость,60000,80000,,"Количество туристов на базе до 100 человек. Основные требования : соблюдение всех санитарно-гигиенических норм требований,соблюдение условий хранения продукции,исключение...",moreThan6,Более 6 лет,9651702,Дружин Игорь Станиславович,,,,
82088754,Монтажник по монтажу стальных и железобетонных конструкций 4-5 разряда,https://hh.ru/applicant/vacancy_response?vacancyId=82088754,full,Полная занятость,67428,78950,Наличие удостоверения по профессии: «Монтажник по монтажу стальных и железобетонных конструкций» 4-5 разряда. Опыт работы от 1 года. ,"Укрупнительная сборка/монтаж сложных конструкций(крупных и тяжеловесных) зданий и промышленных сооружений, в том числе стальных конструкций с элементами промышленных...",noExperience,Нет опыта,5128753,СДС Строй ДВ филиал,,,,
82000262,Автомеханик,https://hh.ru/applicant/vacancy_response?vacancyId=82000262,full,Полная занятость,60000,,"Техническая грамотность , аккуратность в работе, ответственный подход к своей работе. Желание развиваться.","диагностика и ремонт ходовой части и двигателя. -техническое обслуживание, замена масла и фильтров. -замена тормозных колодок. -элементов подвески. - ",between1And3,От 1 года до 3 лет,5721357,Реноме,,,,
78709369,Кладовщик магазина,https://hh.ru/applicant/vacancy_response?vacancyId=78709369,full,Полная занятость,41000,50000,Работать в 1С.,Принимать и размещать товары на складе. Участвовать в погрузке и разгрузке товаров. Участвовать в инвентаризации и поддерживать порядок на складе. ,noExperience,Нет опыта,1025275,Сеть магазинов цифровой и бытовой техники DNS,43.32175719888045,132.36080876380566,,
81813352,Диспетчер по транспорту,https://hh.ru/applicant/vacancy_response?vacancyId=81813352,full,Полная занятость,55000,,"Образование не ниже среднего профессионального. Опыт работы диспетчера по транспорту обязателен. Уверенный пользователь ПК (MS Excel, Word).",Контроль выхода техники в работу. Ежедневный отчет о дислокации техники. Внесение данных об отработанных часах в соответствующие документы. ,between1And3,От 1 года до 3 лет,5128753,СДС Строй ДВ филиал,,,,
81732098,"Оператор-заправщик АЗС, пгт. Шкотово",https://hh.ru/applicant/vacancy_response?vacancyId=81732098,full,Полная занятость,26000,,Без ограничений по здоровью.,Работа по заправки клиентов нефтепродуктами на АЗС. Контроль исправности заправочного оборудования. Поддержание чистоты оборудования и территории.,noExperience,Нет опыта,2249319,Востокнефтепродукт,,,,
81462033,Ведущий инженер ПТО,https://hh.ru/applicant/vacancy_response?vacancyId=81462033,full,Полная занятость,120000,,"Высшее образование по направлению подготовки ""Промышленное и гражданское строительство"" / ""Строительство железных дорог"" и т.п.. Опыт работы в качестве инженера...",Составление и ведение календарных графиков производства работ. Обеспечение участков производства строительных работ необходимой организационно-технологической и исполнительной документацией. ,between3And6,От 3 до 6 лет,5128753,СДС Строй ДВ филиал,,,,
81461869,Заместитель начальника ПТО по сопровождению строительства,https://hh.ru/applicant/vacancy_response?vacancyId=81461869,full,Полная занятость,100000,,"Высшее образование по профилю должности. Владение ПК на уровне уверенного пользователя, знание 1С, Excel, Word, Outlook,Internet. ",Организация работы группы специалистов по подготовке производства. Ведение официальной переписки. Взаимодействие с руководителями проектов в рамках своей компетенции. ,noExperience,Нет опыта,5128753,СДС Строй ДВ филиал,,,,
81461810,Ведущий специалист по охране труда,https://hh.ru/applicant/vacancy_response?vacancyId=81461810,full,Полная занятость,,90000,Высшее образование - бакалавриат. Или Высшее образование (непрофильное) - бакалавриат и дополнительное профессиональное образование - программы профессиональной переподготовки в области охраны труда. ,"Обход строительного объекта, выявления нарушений требований охраны труда, промышленной и пожарной безопасности сотрудниками Организации и подрядных организаций. Составление актов и...",between1And3,От 1 года до 3 лет,5128753,СДС Строй ДВ филиал,,,,
81340161,Старший помощник капитана,https://hh.ru/applicant/vacancy_response?vacancyId=81340161,full,Полная занятость,365000,367000,"Опыт работы в должности старшего помощника капитана на контейнеровозах не менее 1-го контракта. Знание английского языка на уровне, необходимом...",Погрузка/выгрузка (контейнеровоз). Несение ходовой вахты на мостике. Выполнение служебных обязанностей старшего помощника капитана в соответствии с должностной инструкцией. ,between1And3,От 1 года до 3 лет,2493014,Транзит,,,,
79157559,Врач-психиатр (Армавир),https://hh.ru/applicant/vacancy_response?vacancyId=79157559,full,Полная занятость,60000,,"Высшее медицинское образование. Действующий сертификат по специальности ""Психиатрия».",Оказание квалифицированной медицинской помощи по своей специальности. Определение тактики ведения больного в соответствии с установленными правилами и стандартами. ,noExperience,Нет опыта,3741943,ГБУЗ ПНД № 2,44.9945,41.137693,,
81213571,Специалист по охране труда,https://hh.ru/applicant/vacancy_response?vacancyId=81213571,full,Полная занятость,47000,,"Высшее образование, опыт работы 3 года и более. Ответственный, исполнительный.",Организация управления системой охраны труда. - Проведение инструктажей по охране труда. - Контроль за соблюдением правил ОТ и ТБ по подразделениям. - ,between1And3,От 1 года до 3 лет,1826359,ТД ВИК,,,,
79701635,Электромонтер по обслуживанию подстанций,https://hh.ru/applicant/vacancy_response?vacancyId=79701635,full,Полная занятость,55000,,"Образование/специальность: профессиональное обучение – программы профессиональной подготовки по профессиям рабочих, программы переподготовки рабочих, программы повышения квалификации рабочих. Опыт работы по...",Обслуживание оборудования подстанции 220 кВ. Оперативное переключение РУ подстанции. Осмотр оборудования подстанции. Соблюдения правил охраны труда при эксплуатации электроустановок.,between1And3,От 1 года до 3 лет,3607,Федеральная сетевая компания – Россети,43.234542,132.461718,,
