id,name,url,employment_id,employment_name,salary_from,salary_to,snippet_requirement,snippet_responsibility,experience_id,experience_name,employer_id,employer_name,address_lat,address_lng,professional_roles_id,professional_roles_name
80539922,Торговый представитель,https://hh.ru/applicant/vacancy_response?vacancyId=80539922,full,Полная занятость,64000,,Любишь мобильный характер работы. Стремишься к высоким доходам. Опыт в аналогичной должности от 6-ти месяцев. Опыт работы в 1...,"Контракт: Общий прайс (вода, консервация, бакалея). Обеспечивать развитие контракта (вода, консервация, кондитерка, детское питание, крупы). Контролировать выполнение планов по объёму...",between1And3,От 1 года до 3 лет,964662,Группа компаний Невада,,,,
80466636,"Продавец-кассир (с. Андреевка, ул. Ключевая, 19)",https://hh.ru/applicant/vacancy_response?vacancyId=80466636,full,Полная занятость,70000,75000,"Клиентоориентированность. Желание работать с людьми, стрессоустойчивость. Энергичность и позитивный настрой.","Работа с покупателями (консультирование, прямые продажи). Поддержание стандартов работы магазина. Контроль наличия товара. Поддержание порядка в торговом зале. ",between1And3,От 1 года до 3 лет,4803817,Алеут фирменная розничная сеть Ратимир,42.644416,131.131367,,
81876379,Водитель бензовоза,https://hh.ru/applicant/vacancy_response?vacancyId=81876379,full,Полная занятость,43000,,Знание правил дорожного движения. Знание основ безопасности движения. Знание правил технической эксплуатации автомобилей. Знание правил перевозки опасных грузов автомобильным транспортом.,Управление автомобилем. Управление специальным оборудованием автомобиля с соблюдением правил техники безопасности.,noExperience,Нет опыта,4537149,Востокбункер,,,,
81829561,Инженер-геодезист,https://hh.ru/applicant/vacancy_response?vacancyId=81829561,full,Полная занятость,200000,,Высшее профессиональное образование соответствующего профиля. Знание нормативно-правовых актов в части организации и осуществления строительного контроля в части инженерных изысканий. ,"Проведение геодезического контроля всех ответственных конструкций (визуальным и инструментальным методами). Контроль соответствия, своевременного и достоверного оформления Строительным Подрядчиком исполнительной документации...",between3And6,От 3 до 6 лет,766436,Общество с ограниченной ответственностью Свис Инжиниринг Груп,,,,
81522251,Врач-офтальмолог,https://hh.ru/applicant/vacancy_response?vacancyId=81522251,full,Полная занятость,40000,,"Наличие высшего профессионального образования. Ординатура/интернатура по специальности ""Офтальмология"". Сертификат по специальности ""Офтальмология"".",Исполнение должностных обязанностей согласно инструкции и соблюдение правил внутреннего распорядка.,noExperience,Нет опыта,3358275,Государственное бюджетное учреждение здравоохранения Калининградской области Балтийская центральная районная больница,,,,
80016846,Военнослужащий по контракту,https://hh.ru/applicant/vacancy_response?vacancyId=80016846,full,Полная занятость,200000,400000,"Уровень образования не ниже среднего общего. Годность к военной службе по контракту ""А-годен"" или ""Б- годен с незначительными ограничениями...",,noExperience,Нет опыта,5680858,ГАУ СО Агентство по развитию человеческого капитала,,,,
81270657,Руководитель Производственного сектора,https://hh.ru/applicant/vacancy_response?vacancyId=81270657,project,Проектная работа,85000,85000,"Опыт работы на руководящих должностях на пищевых производствах. — Знание технологии производства продукции общественного питания, перечня оборудования и правил эксплуатации. — ","Функционал: — Подготовка производственного сектора к открытию – техническое обеспечение, проработка ассортимента. — Организация работы собственного производства и точек общественного питания – кулинария, кафе...",between1And3,От 1 года до 3 лет,641527,Розничное направление ГК Невада,,,,
81270568,Повар стейк хауса в Андреевку,https://hh.ru/applicant/vacancy_response?vacancyId=81270568,project,Проектная работа,50000,50000,"Профильное образование и опыт работы в аналогичной должности будут вашим преимуществом. — Знание нормативных документов, сан.пин.","Приготовление горячих, мясных блюд. — Соблюдение технологических инструкций, рецептур. — Контроль качества сырья, полуфабрикатов и готовой продукции. — Соблюдение правил личной гигиены и...",between1And3,От 1 года до 3 лет,641527,Розничное направление ГК Невада,,,,
81270422,Бармен-кассир в Андреевку,https://hh.ru/applicant/vacancy_response?vacancyId=81270422,project,Проектная работа,50000,50000,"Исполнительность и ответственность, обучаемость, активность. — Опыт работы не обязателен (проводится бесплатное обучение).","Вежливое общение с покупателями ,консультирование ,активные продажи. — Соблюдение сервиса в течение всей рабочей смены ,как при работе с покупателями ,так...",between1And3,От 1 года до 3 лет,641527,Розничное направление ГК Невада,,,,
80565280,Машинист автокрана,https://hh.ru/applicant/vacancy_response?vacancyId=80565280,full,Полная занятость,135000,150000,Наличие действующего удостоверения на право управления спецтехникой.  Опыт работы машинистом крана 25 тонн; 50 тонн.,Работа на строительных объектах Амурской области.  Поддержание техники в надлежащем виде.  Соблюдение правил техники безопасности.,between1And3,От 1 года до 3 лет,4379675,АльянсТрансСтрой,,,,
81270526,Продавец-кассир в Андреевку,https://hh.ru/applicant/vacancy_response?vacancyId=81270526,project,Проектная работа,40000,40000,"Опыт работы в сфере обслуживания либо розничной торговле будет вашим преимуществом. — Аккуратность, ответственность, внимательность, дисциплинированность.",Обслуживание покупателей на кассе. — Выкладка товара согласно установленным стандартам. — Консультирование покупателей. — Обеспечение наличия ценников и информации о товаре. — ,noExperience,Нет опыта,641527,Розничное направление ГК Невада,,,,
